asset_id,display_name_pt,display_name_en,source_task,asset_group,category,subcategory,phase,priority,batch_id,generation_method,source_art_required,target_polycount,texture_resolution,rig_required,animation_set,concept_prompt,geometry_prompt,texture_prompt,concept_attempts_planned,geometry_attempts_planned,remesh_attempts_planned,retexture_attempts_planned,rig_attempts_planned,approval_criteria,unity_path,status,approval_status
boss_goblin_chieftain_001,Chefe Goblin,Goblin Chieftain,Task016,Character,Mid-Boss,Mid-Boss,Vertical Slice,P0,B03_GOBLIN_ELITES_BOSSES,Multi-view Image to 3D,Yes,7500,2048×2048,Yes,anim_boss_goblin_chieftain,Prompts/Characters/ConceptArt/boss_goblin_chieftain_001_concept_sheet.txt,Prompts/Characters/Meshy/boss_goblin_chieftain_001_meshy_character.txt,Prompts/Characters/Texture/boss_goblin_chieftain_001_texture.txt,3,4,1,1,1,Immediately reads as mid-boss and commander; at least 20% larger than common goblins; limbs remain animation-friendly; trophies are chunky and limited; does not visually surpass Goblin King.,Assets/_Game/Art/Characters/boss_goblin_chieftain_001,Not Started,Pending
boss_goblin_king_001,Rei Goblin,Goblin King,Task016,Character,Final Boss,Final Boss,Vertical Slice,P0,B03_GOBLIN_ELITES_BOSSES,Multi-view Image to 3D,Yes,11500,2048×2048,Yes,anim_boss_goblin_king,Prompts/Characters/ConceptArt/boss_goblin_king_001_concept_sheet.txt,Prompts/Characters/Meshy/boss_goblin_king_001_meshy_character.txt,Prompts/Characters/Texture/boss_goblin_king_001_texture.txt,3,4,1,1,1,"Dominates all goblin silhouettes without becoming an orc; 35–45% larger than common goblins; crown, blade and relic remain distinct; supports multi-phase animation; emission communicates corruption without erasing material readability.",Assets/_Game/Art/Characters/boss_goblin_king_001,Not Started,Pending
enemy_goblin_high_shaman_001,Alto Xamã Goblin,Goblin High Shaman,Task016,Character,Elite Enemy,Elite,Vertical Slice,P0,B03_GOBLIN_ELITES_BOSSES,Multi-view Image to 3D,Yes,6500,1024×1024,Yes,anim_enemy_goblin_caster,Prompts/Characters/ConceptArt/enemy_goblin_high_shaman_001_concept_sheet.txt,Prompts/Characters/Meshy/enemy_goblin_high_shaman_001_meshy_character.txt,Prompts/Characters/Texture/enemy_goblin_high_shaman_001_texture.txt,3,4,1,1,1,"Reads as advanced caster and narrative corruption bridge; clearly more formal than basic Shaman; emission stays controlled; mask and charms remain chunky, rig-safe and culturally fictional.",Assets/_Game/Art/Characters/enemy_goblin_high_shaman_001,Not Started,Pending
enemy_goblin_ranger_001,Patrulheiro Goblin,Goblin Ranger,Task016,Character,Elite Enemy,Elite,Vertical Slice,P0,B03_GOBLIN_ELITES_BOSSES,Multi-view Image to 3D,Yes,6500,1024×1024,Yes,anim_enemy_goblin_ranged,Prompts/Characters/ConceptArt/enemy_goblin_ranger_001_concept_sheet.txt,Prompts/Characters/Meshy/enemy_goblin_ranger_001_meshy_character.txt,Prompts/Characters/Texture/enemy_goblin_ranger_001_texture.txt,3,4,1,1,1,"Instantly distinguishable from Archer by longbow, darker palette and trap shapes; elite without looking magical; satchels do not block hip or leg animation.",Assets/_Game/Art/Characters/enemy_goblin_ranger_001,Not Started,Pending
enemy_hobgoblin_knight_001,Cavaleiro Hobgoblin,Hobgoblin Knight,Task016,Character,Elite Enemy,Elite,Vertical Slice,P0,B03_GOBLIN_ELITES_BOSSES,Multi-view Image to 3D,Yes,6500,1024×1024,Yes,anim_enemy_humanoid_melee,Prompts/Characters/ConceptArt/enemy_hobgoblin_knight_001_concept_sheet.txt,Prompts/Characters/Meshy/enemy_hobgoblin_knight_001_meshy_character.txt,Prompts/Characters/Texture/enemy_hobgoblin_knight_001_texture.txt,3,4,1,1,1,Clearly a different military caste; taller than heroes’ waistline and common goblins; armor appears standardized; tower shield can animate without leg collision; face remains goblinoid.,Assets/_Game/Art/Characters/enemy_hobgoblin_knight_001,Not Started,Pending
equipment_amulet_t01_base,Amuleto T1,Amulet T1,Task017,Equipment,Accessory,amulet,Vertical Slice,P0,B04_T1_WEAPONS_ACCESSORIES,Text to 3D,Optional,900,512,No,None,Prompts/Equipment/ConceptArt/equipment_amulet_t01_base_concept_sheet.txt,Prompts/Equipment/Meshy/BaseGeometry/equipment_amulet_t01_base_geometry.txt,Prompts/Equipment/TextureVariants/equipment_amulet_t01_base_rarity_variants.txt,1,3,1,1,0,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Assets/_Game/Art/Equipment/Accessory/amulet/T1/Models,Not Started,Pending
equipment_longbow_t01_base,Arco Longo T1,Longbow T1,Task017,Equipment,Weapon,longbow,Vertical Slice,P0,B04_T1_WEAPONS_ACCESSORIES,Text to 3D,Optional,1700,1024,No,None,Prompts/Equipment/ConceptArt/equipment_longbow_t01_base_concept_sheet.txt,Prompts/Equipment/Meshy/BaseGeometry/equipment_longbow_t01_base_geometry.txt,Prompts/Equipment/TextureVariants/equipment_longbow_t01_base_rarity_variants.txt,1,3,1,1,0,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Assets/_Game/Art/Equipment/Weapon/longbow/T1/Models,Not Started,Pending
equipment_ring_t01_base,Anel T1,Ring T1,Task017,Equipment,Accessory,ring,Vertical Slice,P0,B04_T1_WEAPONS_ACCESSORIES,Text to 3D,Optional,550,512,No,None,Prompts/Equipment/ConceptArt/equipment_ring_t01_base_concept_sheet.txt,Prompts/Equipment/Meshy/BaseGeometry/equipment_ring_t01_base_geometry.txt,Prompts/Equipment/TextureVariants/equipment_ring_t01_base_rarity_variants.txt,1,3,1,1,0,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Assets/_Game/Art/Equipment/Accessory/ring/T1/Models,Not Started,Pending
equipment_shield_t01_base,Escudo T1,Shield T1,Task017,Equipment,Weapon,shield,Vertical Slice,P0,B04_T1_WEAPONS_ACCESSORIES,Text to 3D,Optional,2500,1024,No,None,Prompts/Equipment/ConceptArt/equipment_shield_t01_base_concept_sheet.txt,Prompts/Equipment/Meshy/BaseGeometry/equipment_shield_t01_base_geometry.txt,Prompts/Equipment/TextureVariants/equipment_shield_t01_base_rarity_variants.txt,1,3,1,1,0,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Assets/_Game/Art/Equipment/Weapon/shield/T1/Models,Not Started,Pending
equipment_staff_t01_base,Cajado T1,Staff T1,Task017,Equipment,Weapon,staff,Vertical Slice,P0,B04_T1_WEAPONS_ACCESSORIES,Text to 3D,Optional,2400,1024,No,None,Prompts/Equipment/ConceptArt/equipment_staff_t01_base_concept_sheet.txt,Prompts/Equipment/Meshy/BaseGeometry/equipment_staff_t01_base_geometry.txt,Prompts/Equipment/TextureVariants/equipment_staff_t01_base_rarity_variants.txt,1,3,1,1,0,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Assets/_Game/Art/Equipment/Weapon/staff/T1/Models,Not Started,Pending
equipment_cloth_boots_t01_base,Botas Arcanas T1,Arcane Boots T1,Task017,Equipment,Cloth Armor,cloth_boots,Vertical Slice,P0,B05_T1_ARMOR,Image to 3D,Yes,1450,1024,No,None,Prompts/Equipment/ConceptArt/equipment_cloth_boots_t01_base_concept_sheet.txt,Prompts/Equipment/Meshy/BaseGeometry/equipment_cloth_boots_t01_base_geometry.txt,Prompts/Equipment/TextureVariants/equipment_cloth_boots_t01_base_rarity_variants.txt,2,3,1,1,0,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Assets/_Game/Art/Equipment/ClothArmor/cloth_boots/T1/Models,Not Started,Pending
equipment_cloth_gloves_t01_base,Luvas Arcanas T1,Arcane Gloves T1,Task017,Equipment,Cloth Armor,cloth_gloves,Vertical Slice,P0,B05_T1_ARMOR,Image to 3D,Yes,1200,1024,No,None,Prompts/Equipment/ConceptArt/equipment_cloth_gloves_t01_base_concept_sheet.txt,Prompts/Equipment/Meshy/BaseGeometry/equipment_cloth_gloves_t01_base_geometry.txt,Prompts/Equipment/TextureVariants/equipment_cloth_gloves_t01_base_rarity_variants.txt,2,3,1,1,0,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Assets/_Game/Art/Equipment/ClothArmor/cloth_gloves/T1/Models,Not Started,Pending
equipment_cloth_hood_t01_base,Capuz Arcano T1,Arcane Hood T1,Task017,Equipment,Cloth Armor,cloth_hood,Vertical Slice,P0,B05_T1_ARMOR,Image to 3D,Yes,1500,1024,No,None,Prompts/Equipment/ConceptArt/equipment_cloth_hood_t01_base_concept_sheet.txt,Prompts/Equipment/Meshy/BaseGeometry/equipment_cloth_hood_t01_base_geometry.txt,Prompts/Equipment/TextureVariants/equipment_cloth_hood_t01_base_rarity_variants.txt,2,3,1,1,0,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Assets/_Game/Art/Equipment/ClothArmor/cloth_hood/T1/Models,Not Started,Pending
equipment_cloth_robe_t01_base,Manto Arcano T1,Arcane Robe T1,Task017,Equipment,Cloth Armor,cloth_robe,Vertical Slice,P0,B05_T1_ARMOR,Image to 3D,Yes,3350,1024,No,None,Prompts/Equipment/ConceptArt/equipment_cloth_robe_t01_base_concept_sheet.txt,Prompts/Equipment/Meshy/BaseGeometry/equipment_cloth_robe_t01_base_geometry.txt,Prompts/Equipment/TextureVariants/equipment_cloth_robe_t01_base_rarity_variants.txt,2,3,1,1,0,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Assets/_Game/Art/Equipment/ClothArmor/cloth_robe/T1/Models,Not Started,Pending
equipment_heavy_boots_t01_base,Botas Pesadas T1,Heavy Boots T1,Task017,Equipment,Heavy Armor,heavy_boots,Vertical Slice,P0,B05_T1_ARMOR,Image to 3D,Yes,1750,1024,No,None,Prompts/Equipment/ConceptArt/equipment_heavy_boots_t01_base_concept_sheet.txt,Prompts/Equipment/Meshy/BaseGeometry/equipment_heavy_boots_t01_base_geometry.txt,Prompts/Equipment/TextureVariants/equipment_heavy_boots_t01_base_rarity_variants.txt,2,3,1,1,0,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Assets/_Game/Art/Equipment/HeavyArmor/heavy_boots/T1/Models,Not Started,Pending
equipment_heavy_chest_t01_base,Peitoral Pesado T1,Heavy Chest Armor T1,Task017,Equipment,Heavy Armor,heavy_chest,Vertical Slice,P0,B05_T1_ARMOR,Image to 3D,Yes,3750,1024,No,None,Prompts/Equipment/ConceptArt/equipment_heavy_chest_t01_base_concept_sheet.txt,Prompts/Equipment/Meshy/BaseGeometry/equipment_heavy_chest_t01_base_geometry.txt,Prompts/Equipment/TextureVariants/equipment_heavy_chest_t01_base_rarity_variants.txt,2,3,1,1,0,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Assets/_Game/Art/Equipment/HeavyArmor/heavy_chest/T1/Models,Not Started,Pending
equipment_heavy_gloves_t01_base,Manoplas Pesadas T1,Heavy Gauntlets T1,Task017,Equipment,Heavy Armor,heavy_gloves,Vertical Slice,P0,B05_T1_ARMOR,Image to 3D,Yes,1550,1024,No,None,Prompts/Equipment/ConceptArt/equipment_heavy_gloves_t01_base_concept_sheet.txt,Prompts/Equipment/Meshy/BaseGeometry/equipment_heavy_gloves_t01_base_geometry.txt,Prompts/Equipment/TextureVariants/equipment_heavy_gloves_t01_base_rarity_variants.txt,2,3,1,1,0,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Assets/_Game/Art/Equipment/HeavyArmor/heavy_gloves/T1/Models,Not Started,Pending
equipment_heavy_helmet_t01_base,Elmo Pesado T1,Heavy Helmet T1,Task017,Equipment,Heavy Armor,heavy_helmet,Vertical Slice,P0,B05_T1_ARMOR,Image to 3D,Yes,2200,1024,No,None,Prompts/Equipment/ConceptArt/equipment_heavy_helmet_t01_base_concept_sheet.txt,Prompts/Equipment/Meshy/BaseGeometry/equipment_heavy_helmet_t01_base_geometry.txt,Prompts/Equipment/TextureVariants/equipment_heavy_helmet_t01_base_rarity_variants.txt,2,3,1,1,0,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Assets/_Game/Art/Equipment/HeavyArmor/heavy_helmet/T1/Models,Not Started,Pending
equipment_light_boots_t01_base,Botas Leves T1,Light Boots T1,Task017,Equipment,Light Armor,light_boots,Vertical Slice,P0,B05_T1_ARMOR,Image to 3D,Yes,1450,1024,No,None,Prompts/Equipment/ConceptArt/equipment_light_boots_t01_base_concept_sheet.txt,Prompts/Equipment/Meshy/BaseGeometry/equipment_light_boots_t01_base_geometry.txt,Prompts/Equipment/TextureVariants/equipment_light_boots_t01_base_rarity_variants.txt,2,3,1,1,0,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Assets/_Game/Art/Equipment/LightArmor/light_boots/T1/Models,Not Started,Pending
equipment_light_chest_t01_base,Armadura Leve T1,Light Chest Armor T1,Task017,Equipment,Light Armor,light_chest,Vertical Slice,P0,B05_T1_ARMOR,Image to 3D,Yes,2800,1024,No,None,Prompts/Equipment/ConceptArt/equipment_light_chest_t01_base_concept_sheet.txt,Prompts/Equipment/Meshy/BaseGeometry/equipment_light_chest_t01_base_geometry.txt,Prompts/Equipment/TextureVariants/equipment_light_chest_t01_base_rarity_variants.txt,2,3,1,1,0,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Assets/_Game/Art/Equipment/LightArmor/light_chest/T1/Models,Not Started,Pending
equipment_light_gloves_t01_base,Luvas Leves T1,Light Gloves T1,Task017,Equipment,Light Armor,light_gloves,Vertical Slice,P0,B05_T1_ARMOR,Image to 3D,Yes,1200,1024,No,None,Prompts/Equipment/ConceptArt/equipment_light_gloves_t01_base_concept_sheet.txt,Prompts/Equipment/Meshy/BaseGeometry/equipment_light_gloves_t01_base_geometry.txt,Prompts/Equipment/TextureVariants/equipment_light_gloves_t01_base_rarity_variants.txt,2,3,1,1,0,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Assets/_Game/Art/Equipment/LightArmor/light_gloves/T1/Models,Not Started,Pending
equipment_light_hood_t01_base,Capuz Leve T1,Light Hood T1,Task017,Equipment,Light Armor,light_hood,Vertical Slice,P0,B05_T1_ARMOR,Image to 3D,Yes,1450,1024,No,None,Prompts/Equipment/ConceptArt/equipment_light_hood_t01_base_concept_sheet.txt,Prompts/Equipment/Meshy/BaseGeometry/equipment_light_hood_t01_base_geometry.txt,Prompts/Equipment/TextureVariants/equipment_light_hood_t01_base_rarity_variants.txt,2,3,1,1,0,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Assets/_Game/Art/Equipment/LightArmor/light_hood/T1/Models,Not Started,Pending
station_alchemist_t01_001,Laboratório T1,Laboratory T1,Task018,Station,Crafting Station,Alchemist,Vertical Slice,P0,B06_STATIONS_T1,Text to 3D,Optional,5250,1024x1024,No,anim_station_alchemist,Prompts/EnvironmentStations/ConceptArt/station_alchemist_t01_001_concept_sheet.txt,Prompts/EnvironmentStations/Meshy/station_alchemist_t01_001_geometry.txt,Prompts/EnvironmentStations/Texture/station_alchemist_t01_001_texture.txt,2,3,1,1,0,Profession readable without UI; Tier milestone visible; work zone clear; sockets valid; no baked animation/VFX; LOD budget met; 3/4 camera test passed,Assets/_Game/Art/Crafting/Stations/Alchemist/T1,Not Started,Pending
station_enchanter_t01_001,Mesa Arcana T1,Arcane Table T1,Task018,Station,Crafting Station,Enchanter,Vertical Slice,P0,B06_STATIONS_T1,Text to 3D,Optional,5250,1024x1024,No,anim_station_enchanter,Prompts/EnvironmentStations/ConceptArt/station_enchanter_t01_001_concept_sheet.txt,Prompts/EnvironmentStations/Meshy/station_enchanter_t01_001_geometry.txt,Prompts/EnvironmentStations/Texture/station_enchanter_t01_001_texture.txt,2,3,1,1,0,Profession readable without UI; Tier milestone visible; work zone clear; sockets valid; no baked animation/VFX; LOD budget met; 3/4 camera test passed,Assets/_Game/Art/Crafting/Stations/Enchanter/T1,Not Started,Pending
station_gatherer_t01_001,Acampamento de Expedição T1,Expedition Camp T1,Task018,Station,Crafting Station,Gatherer,Vertical Slice,P0,B06_STATIONS_T1,Text to 3D,Optional,5250,1024x1024,No,anim_station_gatherer,Prompts/EnvironmentStations/ConceptArt/station_gatherer_t01_001_concept_sheet.txt,Prompts/EnvironmentStations/Meshy/station_gatherer_t01_001_geometry.txt,Prompts/EnvironmentStations/Texture/station_gatherer_t01_001_texture.txt,2,3,1,1,0,Profession readable without UI; Tier milestone visible; work zone clear; sockets valid; no baked animation/VFX; LOD budget met; 3/4 camera test passed,Assets/_Game/Art/Crafting/Stations/Gatherer/T1,Not Started,Pending
station_tailor_t01_001,Ateliê T1,Atelier T1,Task018,Station,Crafting Station,Tailor,Vertical Slice,P0,B06_STATIONS_T1,Text to 3D,Optional,5250,1024x1024,No,anim_station_tailor,Prompts/EnvironmentStations/ConceptArt/station_tailor_t01_001_concept_sheet.txt,Prompts/EnvironmentStations/Meshy/station_tailor_t01_001_geometry.txt,Prompts/EnvironmentStations/Texture/station_tailor_t01_001_texture.txt,2,3,1,1,0,Profession readable without UI; Tier milestone visible; work zone clear; sockets valid; no baked animation/VFX; LOD budget met; 3/4 camera test passed,Assets/_Game/Art/Crafting/Stations/Tailor/T1,Not Started,Pending
env_goblin_mine_ground_dirt_tile_001,Piso de Terra,Dirt Ground Tile,Task018,Environment,Environment,tile,Vertical Slice,P0,B07_GOBLIN_ENV_CORE,Text to 3D,Optional,850,1024x1024,No,None,Prompts/EnvironmentStations/ConceptArt/env_goblin_mine_ground_dirt_tile_001_concept_sheet.txt,Prompts/EnvironmentStations/Meshy/env_goblin_mine_ground_dirt_tile_001_geometry.txt,Prompts/EnvironmentStations/Texture/env_goblin_mine_ground_dirt_tile_001_texture.txt,1,3,1,1,0,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed,Assets/_Game/Art/Environments/goblin_mine/Models,Not Started,Pending
env_goblin_mine_ground_stone_tile_001,Piso de Pedra,Stone Ground Tile,Task018,Environment,Environment,tile,Vertical Slice,P0,B07_GOBLIN_ENV_CORE,Text to 3D,Optional,1050,1024x1024,No,None,Prompts/EnvironmentStations/ConceptArt/env_goblin_mine_ground_stone_tile_001_concept_sheet.txt,Prompts/EnvironmentStations/Meshy/env_goblin_mine_ground_stone_tile_001_geometry.txt,Prompts/EnvironmentStations/Texture/env_goblin_mine_ground_stone_tile_001_texture.txt,1,3,1,1,0,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed,Assets/_Game/Art/Environments/goblin_mine/Models,Not Started,Pending
env_goblin_mine_mine_arch_001,Arco de Mina,Mine Arch,Task018,Environment,Environment,structure,Vertical Slice,P0,B07_GOBLIN_ENV_CORE,Image to 3D,Yes,1900,1024x1024,No,None,Prompts/EnvironmentStations/ConceptArt/env_goblin_mine_mine_arch_001_concept_sheet.txt,Prompts/EnvironmentStations/Meshy/env_goblin_mine_mine_arch_001_geometry.txt,Prompts/EnvironmentStations/Texture/env_goblin_mine_mine_arch_001_texture.txt,2,3,1,1,0,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed,Assets/_Game/Art/Environments/goblin_mine/Models,Not Started,Pending
env_goblin_mine_mine_track_curve_001,Trilho Curvo,Curved Mine Track,Task018,Environment,Environment,modular prop,Vertical Slice,P0,B07_GOBLIN_ENV_CORE,Text to 3D,Optional,850,1024x1024,No,None,Prompts/EnvironmentStations/ConceptArt/env_goblin_mine_mine_track_curve_001_concept_sheet.txt,Prompts/EnvironmentStations/Meshy/env_goblin_mine_mine_track_curve_001_geometry.txt,Prompts/EnvironmentStations/Texture/env_goblin_mine_mine_track_curve_001_texture.txt,1,3,1,1,0,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed,Assets/_Game/Art/Environments/goblin_mine/Models,Not Started,Pending
