asset_id,display_name_pt,display_name_en,family_key,category,slot,profession,tier,tier_theme,production_phase,priority,generation_method,scale_m,lod0_tri_min,lod0_tri_max,lod1_ratio,lod2_ratio,texture_resolution,material_slots_max,pivot,collider,base_material_primary,base_material_secondary,shape_language,family_form_language,rarity_variants,geometry_reuse_rule,mvp_wear_policy,concept_prompt_path,meshy_prompt_path,texture_variants_prompt_path,unity_model_path,unity_material_path,unity_prefab_path,approval_criteria,status
equipment_shield_t02_base,Escudo T2,Shield T2,shield,Weapon,Off Hand,Blacksmith,2,Crafted,MVP,P1,Text to 3D,0.85,1500,3500,0.50,0.25,1024,2,center of rear grip,Box/Convex Mesh,tempered iron and low-carbon steel,treated leather,"cleaner craftsmanship, reinforced edges, balanced proportions","broad protective face, strong outer rim, readable central emblem zone",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate left-hand prop,Prompts/ConceptArt/equipment_shield_t02_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_shield_t02_base_geometry.txt,Prompts/TextureVariants/equipment_shield_t02_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/shield/T2/Models,Assets/_Game/Art/Equipment/Weapon/shield/T2/Materials,Assets/_Game/Prefabs/Equipment/shield/T2,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
equipment_shield_t03_base,Escudo T3,Shield T3,shield,Weapon,Off Hand,Blacksmith,3,Runic,MVP,P1,Text to 3D,0.85,1500,3500,0.50,0.25,1024,2,center of rear grip,Box/Convex Mesh,polished steel and silversteel,reinforced leather,"first intentional rune channels, stronger silhouettes, one focal inset","broad protective face, strong outer rim, readable central emblem zone",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate left-hand prop,Prompts/ConceptArt/equipment_shield_t03_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_shield_t03_base_geometry.txt,Prompts/TextureVariants/equipment_shield_t03_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/shield/T3/Models,Assets/_Game/Art/Equipment/Weapon/shield/T3/Materials,Assets/_Game/Prefabs/Equipment/shield/T3,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
equipment_shield_t04_base,Escudo T4,Shield T4,shield,Weapon,Off Hand,Blacksmith,4,Mithril,Season 1,P2,Text to 3D,0.85,1500,3500,0.50,0.25,1024,2,center of rear grip,Box/Convex Mesh,pale mithril and elven silver,silverleaf leather,"lighter refined construction, elegant curves, disciplined ornament","broad protective face, strong outer rim, readable central emblem zone",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate left-hand prop,Prompts/ConceptArt/equipment_shield_t04_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_shield_t04_base_geometry.txt,Prompts/TextureVariants/equipment_shield_t04_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/shield/T4/Models,Assets/_Game/Art/Equipment/Weapon/shield/T4/Materials,Assets/_Game/Prefabs/Equipment/shield/T4,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
equipment_shield_t05_base,Escudo T5,Shield T5,shield,Weapon,Off Hand,Blacksmith,5,Ancestral,Season 1,P2,Text to 3D,0.85,1500,3500,0.50,0.25,1024,2,center of rear grip,Box/Convex Mesh,adamantite and ancestral bronze,ancestral hide,"heavier prestige construction, carved ancestry motifs, broad protected cores","broad protective face, strong outer rim, readable central emblem zone",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate left-hand prop,Prompts/ConceptArt/equipment_shield_t05_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_shield_t05_base_geometry.txt,Prompts/TextureVariants/equipment_shield_t05_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/shield/T5/Models,Assets/_Game/Art/Equipment/Weapon/shield/T5/Materials,Assets/_Game/Prefabs/Equipment/shield/T5,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
equipment_shield_t06_base,Escudo T6,Shield T6,shield,Weapon,Off Hand,Blacksmith,6,Draconic,Season 1,P2,Text to 3D,0.85,1500,3500,0.50,0.25,1024,2,center of rear grip,Box/Convex Mesh,dragonsteel and metallic obsidian,dragon scale,"aggressive organic plates, scale rhythms, controlled heat channels","broad protective face, strong outer rim, readable central emblem zone",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate left-hand prop,Prompts/ConceptArt/equipment_shield_t06_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_shield_t06_base_geometry.txt,Prompts/TextureVariants/equipment_shield_t06_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/shield/T6/Models,Assets/_Game/Art/Equipment/Weapon/shield/T6/Materials,Assets/_Game/Prefabs/Equipment/shield/T6,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
equipment_shield_t07_base,Escudo T7,Shield T7,shield,Weapon,Off Hand,Blacksmith,7,Astral,Season 1,P2,Text to 3D,0.85,1500,3500,0.50,0.25,1024,2,center of rear grip,Box/Convex Mesh,orichalcum and astral alloy,void leather,"unconventional celestial geometry, small suspended protected pieces, visible energy core","broad protective face, strong outer rim, readable central emblem zone",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate left-hand prop,Prompts/ConceptArt/equipment_shield_t07_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_shield_t07_base_geometry.txt,Prompts/TextureVariants/equipment_shield_t07_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/shield/T7/Models,Assets/_Game/Art/Equipment/Weapon/shield/T7/Materials,Assets/_Game/Prefabs/Equipment/shield/T7,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
equipment_shield_t08_base,Escudo T8,Shield T8,shield,Weapon,Off Hand,Blacksmith,8,Celestial,Post-MVP,P3,Text to 3D,0.85,1500,3500,0.50,0.25,1024,2,center of rear grip,Box/Convex Mesh,aetherium and celestial alloy,seraph hide,"symmetric sacred construction, luminous inlays, elevated but robust silhouettes","broad protective face, strong outer rim, readable central emblem zone",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate left-hand prop,Prompts/ConceptArt/equipment_shield_t08_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_shield_t08_base_geometry.txt,Prompts/TextureVariants/equipment_shield_t08_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/shield/T8/Models,Assets/_Game/Art/Equipment/Weapon/shield/T8/Materials,Assets/_Game/Prefabs/Equipment/shield/T8,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
equipment_shield_t09_base,Escudo T9,Shield T9,shield,Weapon,Off Hand,Blacksmith,9,Creation,Post-MVP,P3,Text to 3D,0.85,1500,3500,0.50,0.25,1024,2,center of rear grip,Box/Convex Mesh,primordial metal and divine alloy,fate leather,"signature construction, impossible but readable material, one defining creation motif","broad protective face, strong outer rim, readable central emblem zone",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate left-hand prop,Prompts/ConceptArt/equipment_shield_t09_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_shield_t09_base_geometry.txt,Prompts/TextureVariants/equipment_shield_t09_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/shield/T9/Models,Assets/_Game/Art/Equipment/Weapon/shield/T9/Materials,Assets/_Game/Prefabs/Equipment/shield/T9,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
equipment_longbow_t01_base,Arco Longo T1,Longbow T1,longbow,Weapon,Main Hand,Blacksmith + Tailor,1,Frontier,Vertical Slice,P0,Text to 3D,1.55,1000,2400,0.50,0.25,1024,2,center of bow grip,Capsule/Box,rawhide and rope,common timber,"functional, compact, simple construction, visible fasteners","large continuous bow curve, thick limbs, clean grip and reinforced tips",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate bow prop; string handled in Unity,Prompts/ConceptArt/equipment_longbow_t01_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_longbow_t01_base_geometry.txt,Prompts/TextureVariants/equipment_longbow_t01_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/longbow/T1/Models,Assets/_Game/Art/Equipment/Weapon/longbow/T1/Materials,Assets/_Game/Prefabs/Equipment/longbow/T1,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
equipment_longbow_t02_base,Arco Longo T2,Longbow T2,longbow,Weapon,Main Hand,Blacksmith + Tailor,2,Crafted,MVP,P1,Text to 3D,1.55,1000,2400,0.50,0.25,1024,2,center of bow grip,Capsule/Box,treated leather,ash and oak,"cleaner craftsmanship, reinforced edges, balanced proportions","large continuous bow curve, thick limbs, clean grip and reinforced tips",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate bow prop; string handled in Unity,Prompts/ConceptArt/equipment_longbow_t02_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_longbow_t02_base_geometry.txt,Prompts/TextureVariants/equipment_longbow_t02_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/longbow/T2/Models,Assets/_Game/Art/Equipment/Weapon/longbow/T2/Materials,Assets/_Game/Prefabs/Equipment/longbow/T2,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
equipment_longbow_t03_base,Arco Longo T3,Longbow T3,longbow,Weapon,Main Hand,Blacksmith + Tailor,3,Runic,MVP,P1,Text to 3D,1.55,1000,2400,0.50,0.25,1024,2,center of bow grip,Capsule/Box,reinforced leather,reinforced darkwood,"first intentional rune channels, stronger silhouettes, one focal inset","large continuous bow curve, thick limbs, clean grip and reinforced tips",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate bow prop; string handled in Unity,Prompts/ConceptArt/equipment_longbow_t03_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_longbow_t03_base_geometry.txt,Prompts/TextureVariants/equipment_longbow_t03_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/longbow/T3/Models,Assets/_Game/Art/Equipment/Weapon/longbow/T3/Materials,Assets/_Game/Prefabs/Equipment/longbow/T3,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
equipment_longbow_t04_base,Arco Longo T4,Longbow T4,longbow,Weapon,Main Hand,Blacksmith + Tailor,4,Mithril,Season 1,P2,Text to 3D,1.55,1000,2400,0.50,0.25,1024,2,center of bow grip,Capsule/Box,silverleaf leather,white or silver wood,"lighter refined construction, elegant curves, disciplined ornament","large continuous bow curve, thick limbs, clean grip and reinforced tips",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate bow prop; string handled in Unity,Prompts/ConceptArt/equipment_longbow_t04_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_longbow_t04_base_geometry.txt,Prompts/TextureVariants/equipment_longbow_t04_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/longbow/T4/Models,Assets/_Game/Art/Equipment/Weapon/longbow/T4/Materials,Assets/_Game/Prefabs/Equipment/longbow/T4,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
equipment_longbow_t05_base,Arco Longo T5,Longbow T5,longbow,Weapon,Main Hand,Blacksmith + Tailor,5,Ancestral,Season 1,P2,Text to 3D,1.55,1000,2400,0.50,0.25,1024,2,center of bow grip,Capsule/Box,ancestral hide,petrified ancient wood,"heavier prestige construction, carved ancestry motifs, broad protected cores","large continuous bow curve, thick limbs, clean grip and reinforced tips",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate bow prop; string handled in Unity,Prompts/ConceptArt/equipment_longbow_t05_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_longbow_t05_base_geometry.txt,Prompts/TextureVariants/equipment_longbow_t05_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/longbow/T5/Models,Assets/_Game/Art/Equipment/Weapon/longbow/T5/Materials,Assets/_Game/Prefabs/Equipment/longbow/T5,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
equipment_longbow_t06_base,Arco Longo T6,Longbow T6,longbow,Weapon,Main Hand,Blacksmith + Tailor,6,Draconic,Season 1,P2,Text to 3D,1.55,1000,2400,0.50,0.25,1024,2,center of bow grip,Capsule/Box,dragon scale,treated dragonbone and dark draconic wood,"aggressive organic plates, scale rhythms, controlled heat channels","large continuous bow curve, thick limbs, clean grip and reinforced tips",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate bow prop; string handled in Unity,Prompts/ConceptArt/equipment_longbow_t06_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_longbow_t06_base_geometry.txt,Prompts/TextureVariants/equipment_longbow_t06_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/longbow/T6/Models,Assets/_Game/Art/Equipment/Weapon/longbow/T6/Materials,Assets/_Game/Prefabs/Equipment/longbow/T6,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
equipment_longbow_t07_base,Arco Longo T7,Longbow T7,longbow,Weapon,Main Hand,Blacksmith + Tailor,7,Astral,Season 1,P2,Text to 3D,1.55,1000,2400,0.50,0.25,1024,2,center of bow grip,Capsule/Box,void leather,starwood,"unconventional celestial geometry, small suspended protected pieces, visible energy core","large continuous bow curve, thick limbs, clean grip and reinforced tips",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate bow prop; string handled in Unity,Prompts/ConceptArt/equipment_longbow_t07_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_longbow_t07_base_geometry.txt,Prompts/TextureVariants/equipment_longbow_t07_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/longbow/T7/Models,Assets/_Game/Art/Equipment/Weapon/longbow/T7/Materials,Assets/_Game/Prefabs/Equipment/longbow/T7,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
equipment_longbow_t08_base,Arco Longo T8,Longbow T8,longbow,Weapon,Main Hand,Blacksmith + Tailor,8,Celestial,Post-MVP,P3,Text to 3D,1.55,1000,2400,0.50,0.25,1024,2,center of bow grip,Capsule/Box,seraph hide,mineralized luminous material,"symmetric sacred construction, luminous inlays, elevated but robust silhouettes","large continuous bow curve, thick limbs, clean grip and reinforced tips",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate bow prop; string handled in Unity,Prompts/ConceptArt/equipment_longbow_t08_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_longbow_t08_base_geometry.txt,Prompts/TextureVariants/equipment_longbow_t08_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/longbow/T8/Models,Assets/_Game/Art/Equipment/Weapon/longbow/T8/Materials,Assets/_Game/Prefabs/Equipment/longbow/T8,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
equipment_longbow_t09_base,Arco Longo T9,Longbow T9,longbow,Weapon,Main Hand,Blacksmith + Tailor,9,Creation,Post-MVP,P3,Text to 3D,1.55,1000,2400,0.50,0.25,1024,2,center of bow grip,Capsule/Box,fate leather,solidified primordial matter,"signature construction, impossible but readable material, one defining creation motif","large continuous bow curve, thick limbs, clean grip and reinforced tips",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate bow prop; string handled in Unity,Prompts/ConceptArt/equipment_longbow_t09_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_longbow_t09_base_geometry.txt,Prompts/TextureVariants/equipment_longbow_t09_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/longbow/T9/Models,Assets/_Game/Art/Equipment/Weapon/longbow/T9/Materials,Assets/_Game/Prefabs/Equipment/longbow/T9,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
