asset_id,asset_type,concept_prompt,meshy_prompt,texture_prompt,source_art_required,meshy_method,priority,production_phase,approval_gate
env_goblin_mine_camp_gate_001,Environment,Prompts/ConceptArt/env_goblin_mine_camp_gate_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_camp_gate_001_geometry.txt,Prompts/Texture/env_goblin_mine_camp_gate_001_texture.txt,Yes,Image to 3D,P0,Vertical Slice,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_mine_wall_corner_001,Environment,Prompts/ConceptArt/env_goblin_mine_mine_wall_corner_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_mine_wall_corner_001_geometry.txt,Prompts/Texture/env_goblin_mine_mine_wall_corner_001_texture.txt,Yes,Image to 3D,P0,Vertical Slice,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_mine_wall_straight_001,Environment,Prompts/ConceptArt/env_goblin_mine_mine_wall_straight_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_mine_wall_straight_001_geometry.txt,Prompts/Texture/env_goblin_mine_mine_wall_straight_001_texture.txt,Yes,Image to 3D,P0,Vertical Slice,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_ore_pile_001,Environment,Prompts/ConceptArt/env_goblin_mine_ore_pile_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_ore_pile_001_geometry.txt,Prompts/Texture/env_goblin_mine_ore_pile_001_texture.txt,Optional,Text to 3D,P0,Vertical Slice,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_rope_bridge_001,Environment,Prompts/ConceptArt/env_goblin_mine_rope_bridge_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_rope_bridge_001_geometry.txt,Prompts/Texture/env_goblin_mine_rope_bridge_001_texture.txt,Yes,Image to 3D,P0,Vertical Slice,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_scrap_barricade_001,Environment,Prompts/ConceptArt/env_goblin_mine_scrap_barricade_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_scrap_barricade_001_geometry.txt,Prompts/Texture/env_goblin_mine_scrap_barricade_001_texture.txt,Optional,Text to 3D,P0,Vertical Slice,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_wall_torch_001,Environment,Prompts/ConceptArt/env_goblin_mine_wall_torch_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_wall_torch_001_geometry.txt,Prompts/Texture/env_goblin_mine_wall_torch_001_texture.txt,Optional,Text to 3D,P0,Vertical Slice,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_watchtower_001,Environment,Prompts/ConceptArt/env_goblin_mine_watchtower_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_watchtower_001_geometry.txt,Prompts/Texture/env_goblin_mine_watchtower_001_texture.txt,Yes,Image to 3D,P0,Vertical Slice,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_wood_cage_001,Environment,Prompts/ConceptArt/env_goblin_mine_wood_cage_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_wood_cage_001_geometry.txt,Prompts/Texture/env_goblin_mine_wood_cage_001_texture.txt,Optional,Text to 3D,P0,Vertical Slice,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_wood_support_beam_001,Environment,Prompts/ConceptArt/env_goblin_mine_wood_support_beam_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_wood_support_beam_001_geometry.txt,Prompts/Texture/env_goblin_mine_wood_support_beam_001_texture.txt,Yes,Image to 3D,P0,Vertical Slice,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_undead_crypt_bone_pile_001,Environment,Prompts/ConceptArt/env_undead_crypt_bone_pile_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_bone_pile_001_geometry.txt,Prompts/Texture/env_undead_crypt_bone_pile_001_texture.txt,Optional,Text to 3D,P1,Season 1 - Arc 2,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_undead_crypt_broken_statue_001,Environment,Prompts/ConceptArt/env_undead_crypt_broken_statue_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_broken_statue_001_geometry.txt,Prompts/Texture/env_undead_crypt_broken_statue_001_texture.txt,Optional,Text to 3D,P1,Season 1 - Arc 2,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_undead_crypt_coffin_001,Environment,Prompts/ConceptArt/env_undead_crypt_coffin_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_coffin_001_geometry.txt,Prompts/Texture/env_undead_crypt_coffin_001_texture.txt,Optional,Text to 3D,P1,Season 1 - Arc 2,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_undead_crypt_crypt_arch_001,Environment,Prompts/ConceptArt/env_undead_crypt_crypt_arch_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_crypt_arch_001_geometry.txt,Prompts/Texture/env_undead_crypt_crypt_arch_001_texture.txt,Yes,Image to 3D,P1,Season 1 - Arc 2,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_undead_crypt_crypt_column_001,Environment,Prompts/ConceptArt/env_undead_crypt_crypt_column_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_crypt_column_001_geometry.txt,Prompts/Texture/env_undead_crypt_crypt_column_001_texture.txt,Yes,Image to 3D,P1,Season 1 - Arc 2,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_undead_crypt_crypt_door_001,Environment,Prompts/ConceptArt/env_undead_crypt_crypt_door_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_crypt_door_001_geometry.txt,Prompts/Texture/env_undead_crypt_crypt_door_001_texture.txt,Yes,Image to 3D,P1,Season 1 - Arc 2,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_undead_crypt_crypt_floor_tile_001,Environment,Prompts/ConceptArt/env_undead_crypt_crypt_floor_tile_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_crypt_floor_tile_001_geometry.txt,Prompts/Texture/env_undead_crypt_crypt_floor_tile_001_texture.txt,Optional,Text to 3D,P1,Season 1 - Arc 2,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_undead_crypt_crypt_iron_gate_001,Environment,Prompts/ConceptArt/env_undead_crypt_crypt_iron_gate_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_crypt_iron_gate_001_geometry.txt,Prompts/Texture/env_undead_crypt_crypt_iron_gate_001_texture.txt,Optional,Text to 3D,P1,Season 1 - Arc 2,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_undead_crypt_crypt_wall_corner_001,Environment,Prompts/ConceptArt/env_undead_crypt_crypt_wall_corner_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_crypt_wall_corner_001_geometry.txt,Prompts/Texture/env_undead_crypt_crypt_wall_corner_001_texture.txt,Yes,Image to 3D,P1,Season 1 - Arc 2,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_undead_crypt_crypt_wall_straight_001,Environment,Prompts/ConceptArt/env_undead_crypt_crypt_wall_straight_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_crypt_wall_straight_001_geometry.txt,Prompts/Texture/env_undead_crypt_crypt_wall_straight_001_texture.txt,Yes,Image to 3D,P1,Season 1 - Arc 2,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_undead_crypt_grave_marker_001,Environment,Prompts/ConceptArt/env_undead_crypt_grave_marker_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_grave_marker_001_geometry.txt,Prompts/Texture/env_undead_crypt_grave_marker_001_texture.txt,Optional,Text to 3D,P1,Season 1 - Arc 2,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_undead_crypt_hanging_chain_001,Environment,Prompts/ConceptArt/env_undead_crypt_hanging_chain_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_hanging_chain_001_geometry.txt,Prompts/Texture/env_undead_crypt_hanging_chain_001_texture.txt,Optional,Text to 3D,P1,Season 1 - Arc 2,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_undead_crypt_lich_throne_001,Environment,Prompts/ConceptArt/env_undead_crypt_lich_throne_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_lich_throne_001_geometry.txt,Prompts/Texture/env_undead_crypt_lich_throne_001_texture.txt,Yes,Image to 3D,P1,Season 1 - Arc 2,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_undead_crypt_necromantic_crystal_001,Environment,Prompts/ConceptArt/env_undead_crypt_necromantic_crystal_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_necromantic_crystal_001_geometry.txt,Prompts/Texture/env_undead_crypt_necromantic_crystal_001_texture.txt,Optional,Text to 3D,P1,Season 1 - Arc 2,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_undead_crypt_necromantic_portal_001,Environment,Prompts/ConceptArt/env_undead_crypt_necromantic_portal_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_necromantic_portal_001_geometry.txt,Prompts/Texture/env_undead_crypt_necromantic_portal_001_texture.txt,Yes,Image to 3D,P1,Season 1 - Arc 2,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_undead_crypt_ossuary_001,Environment,Prompts/ConceptArt/env_undead_crypt_ossuary_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_ossuary_001_geometry.txt,Prompts/Texture/env_undead_crypt_ossuary_001_texture.txt,Optional,Text to 3D,P1,Season 1 - Arc 2,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_undead_crypt_ritual_altar_001,Environment,Prompts/ConceptArt/env_undead_crypt_ritual_altar_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_ritual_altar_001_geometry.txt,Prompts/Texture/env_undead_crypt_ritual_altar_001_texture.txt,Yes,Image to 3D,P1,Season 1 - Arc 2,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_undead_crypt_sarcophagus_001,Environment,Prompts/ConceptArt/env_undead_crypt_sarcophagus_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_sarcophagus_001_geometry.txt,Prompts/Texture/env_undead_crypt_sarcophagus_001_texture.txt,Optional,Text to 3D,P1,Season 1 - Arc 2,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_undead_crypt_spectral_brazier_001,Environment,Prompts/ConceptArt/env_undead_crypt_spectral_brazier_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_spectral_brazier_001_geometry.txt,Prompts/Texture/env_undead_crypt_spectral_brazier_001_texture.txt,Optional,Text to 3D,P1,Season 1 - Arc 2,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_undead_crypt_spectral_candle_001,Environment,Prompts/ConceptArt/env_undead_crypt_spectral_candle_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_spectral_candle_001_geometry.txt,Prompts/Texture/env_undead_crypt_spectral_candle_001_texture.txt,Optional,Text to 3D,P1,Season 1 - Arc 2,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_infernal_fortress_basalt_floor_tile_001,Environment,Prompts/ConceptArt/env_infernal_fortress_basalt_floor_tile_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_basalt_floor_tile_001_geometry.txt,Prompts/Texture/env_infernal_fortress_basalt_floor_tile_001_texture.txt,Optional,Text to 3D,P1,Season 1 - Arc 3,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_infernal_fortress_demon_lord_throne_001,Environment,Prompts/ConceptArt/env_infernal_fortress_demon_lord_throne_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_demon_lord_throne_001_geometry.txt,Prompts/Texture/env_infernal_fortress_demon_lord_throne_001_texture.txt,Yes,Image to 3D,P1,Season 1 - Arc 3,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_infernal_fortress_demon_weapon_rack_001,Environment,Prompts/ConceptArt/env_infernal_fortress_demon_weapon_rack_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_demon_weapon_rack_001_geometry.txt,Prompts/Texture/env_infernal_fortress_demon_weapon_rack_001_texture.txt,Optional,Text to 3D,P1,Season 1 - Arc 3,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_infernal_fortress_demonic_pillar_001,Environment,Prompts/ConceptArt/env_infernal_fortress_demonic_pillar_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_demonic_pillar_001_geometry.txt,Prompts/Texture/env_infernal_fortress_demonic_pillar_001_texture.txt,Yes,Image to 3D,P1,Season 1 - Arc 3,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_infernal_fortress_infernal_arch_001,Environment,Prompts/ConceptArt/env_infernal_fortress_infernal_arch_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_infernal_arch_001_geometry.txt,Prompts/Texture/env_infernal_fortress_infernal_arch_001_texture.txt,Yes,Image to 3D,P1,Season 1 - Arc 3,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_infernal_fortress_infernal_arena_ring_001,Environment,Prompts/ConceptArt/env_infernal_fortress_infernal_arena_ring_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_infernal_arena_ring_001_geometry.txt,Prompts/Texture/env_infernal_fortress_infernal_arena_ring_001_texture.txt,Yes,Image to 3D,P1,Season 1 - Arc 3,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_infernal_fortress_infernal_brazier_001,Environment,Prompts/ConceptArt/env_infernal_fortress_infernal_brazier_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_infernal_brazier_001_geometry.txt,Prompts/Texture/env_infernal_fortress_infernal_brazier_001_texture.txt,Optional,Text to 3D,P1,Season 1 - Arc 3,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_infernal_fortress_infernal_bridge_001,Environment,Prompts/ConceptArt/env_infernal_fortress_infernal_bridge_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_infernal_bridge_001_geometry.txt,Prompts/Texture/env_infernal_fortress_infernal_bridge_001_texture.txt,Yes,Image to 3D,P1,Season 1 - Arc 3,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_infernal_fortress_infernal_cage_001,Environment,Prompts/ConceptArt/env_infernal_fortress_infernal_cage_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_infernal_cage_001_geometry.txt,Prompts/Texture/env_infernal_fortress_infernal_cage_001_texture.txt,Optional,Text to 3D,P1,Season 1 - Arc 3,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_infernal_fortress_infernal_chain_001,Environment,Prompts/ConceptArt/env_infernal_fortress_infernal_chain_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_infernal_chain_001_geometry.txt,Prompts/Texture/env_infernal_fortress_infernal_chain_001_texture.txt,Optional,Text to 3D,P1,Season 1 - Arc 3,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_infernal_fortress_infernal_crystal_001,Environment,Prompts/ConceptArt/env_infernal_fortress_infernal_crystal_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_infernal_crystal_001_geometry.txt,Prompts/Texture/env_infernal_fortress_infernal_crystal_001_texture.txt,Optional,Text to 3D,P1,Season 1 - Arc 3,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_infernal_fortress_infernal_gate_001,Environment,Prompts/ConceptArt/env_infernal_fortress_infernal_gate_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_infernal_gate_001_geometry.txt,Prompts/Texture/env_infernal_fortress_infernal_gate_001_texture.txt,Yes,Image to 3D,P1,Season 1 - Arc 3,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_infernal_fortress_infernal_platform_001,Environment,Prompts/ConceptArt/env_infernal_fortress_infernal_platform_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_infernal_platform_001_geometry.txt,Prompts/Texture/env_infernal_fortress_infernal_platform_001_texture.txt,Yes,Image to 3D,P1,Season 1 - Arc 3,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_infernal_fortress_infernal_portal_001,Environment,Prompts/ConceptArt/env_infernal_fortress_infernal_portal_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_infernal_portal_001_geometry.txt,Prompts/Texture/env_infernal_fortress_infernal_portal_001_texture.txt,Yes,Image to 3D,P1,Season 1 - Arc 3,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_infernal_fortress_infernal_wall_corner_001,Environment,Prompts/ConceptArt/env_infernal_fortress_infernal_wall_corner_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_infernal_wall_corner_001_geometry.txt,Prompts/Texture/env_infernal_fortress_infernal_wall_corner_001_texture.txt,Yes,Image to 3D,P1,Season 1 - Arc 3,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_infernal_fortress_infernal_wall_straight_001,Environment,Prompts/ConceptArt/env_infernal_fortress_infernal_wall_straight_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_infernal_wall_straight_001_geometry.txt,Prompts/Texture/env_infernal_fortress_infernal_wall_straight_001_texture.txt,Yes,Image to 3D,P1,Season 1 - Arc 3,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_infernal_fortress_lava_channel_bend_001,Environment,Prompts/ConceptArt/env_infernal_fortress_lava_channel_bend_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_lava_channel_bend_001_geometry.txt,Prompts/Texture/env_infernal_fortress_lava_channel_bend_001_texture.txt,Optional,Text to 3D,P1,Season 1 - Arc 3,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_infernal_fortress_lava_channel_straight_001,Environment,Prompts/ConceptArt/env_infernal_fortress_lava_channel_straight_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_lava_channel_straight_001_geometry.txt,Prompts/Texture/env_infernal_fortress_lava_channel_straight_001_texture.txt,Optional,Text to 3D,P1,Season 1 - Arc 3,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_infernal_fortress_lava_fall_001,Environment,Prompts/ConceptArt/env_infernal_fortress_lava_fall_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_lava_fall_001_geometry.txt,Prompts/Texture/env_infernal_fortress_lava_fall_001_texture.txt,Yes,Image to 3D,P1,Season 1 - Arc 3,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_infernal_fortress_spike_barricade_001,Environment,Prompts/ConceptArt/env_infernal_fortress_spike_barricade_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_spike_barricade_001_geometry.txt,Prompts/Texture/env_infernal_fortress_spike_barricade_001_texture.txt,Optional,Text to 3D,P1,Season 1 - Arc 3,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
station_alchemist_t01_001,Crafting Station,Prompts/ConceptArt/station_alchemist_t01_001_concept_sheet.txt,Prompts/Meshy/station_alchemist_t01_001_geometry.txt,Prompts/Texture/station_alchemist_t01_001_texture.txt,Optional,Text to 3D,P0,Vertical Slice,Profession readable without UI; Tier milestone visible; work zone clear; sockets valid; no baked animation/VFX; LOD budget met; 3/4 camera test passed
station_blacksmith_t01_001,Crafting Station,Prompts/ConceptArt/station_blacksmith_t01_001_concept_sheet.txt,Prompts/Meshy/station_blacksmith_t01_001_geometry.txt,Prompts/Texture/station_blacksmith_t01_001_texture.txt,Optional,Text to 3D,P0,Vertical Slice,Profession readable without UI; Tier milestone visible; work zone clear; sockets valid; no baked animation/VFX; LOD budget met; 3/4 camera test passed
station_enchanter_t01_001,Crafting Station,Prompts/ConceptArt/station_enchanter_t01_001_concept_sheet.txt,Prompts/Meshy/station_enchanter_t01_001_geometry.txt,Prompts/Texture/station_enchanter_t01_001_texture.txt,Optional,Text to 3D,P0,Vertical Slice,Profession readable without UI; Tier milestone visible; work zone clear; sockets valid; no baked animation/VFX; LOD budget met; 3/4 camera test passed
station_gatherer_t01_001,Crafting Station,Prompts/ConceptArt/station_gatherer_t01_001_concept_sheet.txt,Prompts/Meshy/station_gatherer_t01_001_geometry.txt,Prompts/Texture/station_gatherer_t01_001_texture.txt,Optional,Text to 3D,P0,Vertical Slice,Profession readable without UI; Tier milestone visible; work zone clear; sockets valid; no baked animation/VFX; LOD budget met; 3/4 camera test passed
station_tailor_t01_001,Crafting Station,Prompts/ConceptArt/station_tailor_t01_001_concept_sheet.txt,Prompts/Meshy/station_tailor_t01_001_geometry.txt,Prompts/Texture/station_tailor_t01_001_texture.txt,Optional,Text to 3D,P0,Vertical Slice,Profession readable without UI; Tier milestone visible; work zone clear; sockets valid; no baked animation/VFX; LOD budget met; 3/4 camera test passed
station_alchemist_t03_001,Crafting Station,Prompts/ConceptArt/station_alchemist_t03_001_concept_sheet.txt,Prompts/Meshy/station_alchemist_t03_001_geometry.txt,Prompts/Texture/station_alchemist_t03_001_texture.txt,Optional,Text to 3D,P1,MVP,Profession readable without UI; Tier milestone visible; work zone clear; sockets valid; no baked animation/VFX; LOD budget met; 3/4 camera test passed
