asset_id,display_name_pt,display_name_en,biome,subcategory,priority,production_phase,meshy_method,source_art_required,scale_m,grid_standard,lod0_tri_min,lod0_tri_max,texture_resolution,material_slots_max,required_sockets,design_brief,concept_prompt_path,meshy_prompt_path,texture_prompt_path
env_goblin_mine_mine_track_straight_001,Trilho Reto,Straight Mine Track,Goblin Mine,modular prop,P0,Vertical Slice,Text to 3D,Optional,4.0,4m grid,400,1000,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W,"straight modular mine track on rough timber sleepers, exactly 4 meters long and grid aligned",Prompts/ConceptArt/env_goblin_mine_mine_track_straight_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_mine_track_straight_001_geometry.txt,Prompts/Texture/env_goblin_mine_mine_track_straight_001_texture.txt
env_goblin_mine_mine_wall_corner_001,Canto de Mina,Mine Wall Corner,Goblin Mine,wall,P0,Vertical Slice,Image to 3D,Yes,4.0,4m grid,1400,4000,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W,90-degree modular excavated mine wall corner with embedded timber reinforcement and clean snap edges,Prompts/ConceptArt/env_goblin_mine_mine_wall_corner_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_mine_wall_corner_001_geometry.txt,Prompts/Texture/env_goblin_mine_mine_wall_corner_001_texture.txt
env_goblin_mine_mine_wall_straight_001,Parede de Mina Reta,Straight Mine Wall,Goblin Mine,wall,P0,Vertical Slice,Image to 3D,Yes,4.0,4m grid,1200,3500,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W,straight 4 meter excavated mine wall module with restrained rock relief and embedded timber braces,Prompts/ConceptArt/env_goblin_mine_mine_wall_straight_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_mine_wall_straight_001_geometry.txt,Prompts/Texture/env_goblin_mine_mine_wall_straight_001_texture.txt
env_goblin_mine_ore_pile_001,Pilha de Minério,Ore Pile,Goblin Mine,prop,P0,Vertical Slice,Text to 3D,Optional,1.2,free placement on 0.25m increments,500,1400,1024x1024,2,CAMERA_FOCUS optional,compact pile of chunky ore rocks with a few readable metallic veins and a stable footprint,Prompts/ConceptArt/env_goblin_mine_ore_pile_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_ore_pile_001_geometry.txt,Prompts/Texture/env_goblin_mine_ore_pile_001_texture.txt
env_goblin_mine_rope_bridge_001,Ponte de Corda,Rope Bridge,Goblin Mine,large prop,P0,Vertical Slice,Image to 3D,Yes,6.0,4m grid,1800,4500,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W; CAMERA_FOCUS,"six-meter modular rope bridge with thick planks, heavy rope rails and slightly irregular but safe game-readable construction",Prompts/ConceptArt/env_goblin_mine_rope_bridge_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_rope_bridge_001_geometry.txt,Prompts/Texture/env_goblin_mine_rope_bridge_001_texture.txt
env_goblin_mine_scrap_barricade_001,Barricada de Sucata,Scrap Barricade,Goblin Mine,prop,P0,Vertical Slice,Text to 3D,Optional,2.5,free placement on 0.25m increments,900,2200,1024x1024,2,CAMERA_FOCUS optional,"broad goblin barricade of timber, shields and scrap iron with thick mobile-safe spikes and a low stable footprint",Prompts/ConceptArt/env_goblin_mine_scrap_barricade_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_scrap_barricade_001_geometry.txt,Prompts/Texture/env_goblin_mine_scrap_barricade_001_texture.txt
env_goblin_mine_wall_torch_001,Tocha de Parede,Wall Torch,Goblin Mine,prop,P0,Vertical Slice,Text to 3D,Optional,0.8,free placement on 0.25m increments,300,800,1024x1024,2,VFX_FLAME,"short wall-mounted goblin torch bracket with thick iron cup, timber handle and flame socket",Prompts/ConceptArt/env_goblin_mine_wall_torch_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_wall_torch_001_geometry.txt,Prompts/Texture/env_goblin_mine_wall_torch_001_texture.txt
env_goblin_mine_watchtower_001,Torre de Vigia Goblin,Goblin Watchtower,Goblin Mine,large prop,P0,Vertical Slice,Image to 3D,Yes,7.0,free placement on 0.25m increments,3000,7000,1024x1024,2,CAMERA_FOCUS,"tall improvised goblin watchtower with broad platform, ladder, chunky supports and simple hide roof",Prompts/ConceptArt/env_goblin_mine_watchtower_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_watchtower_001_geometry.txt,Prompts/Texture/env_goblin_mine_watchtower_001_texture.txt
env_goblin_mine_wood_cage_001,Jaula de Madeira,Wooden Cage,Goblin Mine,prop,P0,Vertical Slice,Text to 3D,Optional,2.0,free placement on 0.25m increments,800,2200,1024x1024,2,INTERACT_PRIMARY,"small prison cage with thick timber bars, iron bands, simple door and stable rectangular silhouette",Prompts/ConceptArt/env_goblin_mine_wood_cage_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_wood_cage_001_geometry.txt,Prompts/Texture/env_goblin_mine_wood_cage_001_texture.txt
env_goblin_mine_wood_support_beam_001,Viga de Suporte,Wood Support Beam,Goblin Mine,structure,P0,Vertical Slice,Image to 3D,Yes,3.0,4m grid,500,1400,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W,modular timber mine support frame with two posts and one crossbeam sized for a 4 meter corridor,Prompts/ConceptArt/env_goblin_mine_wood_support_beam_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_wood_support_beam_001_geometry.txt,Prompts/Texture/env_goblin_mine_wood_support_beam_001_texture.txt
env_undead_crypt_bone_pile_001,Pilha de Ossos,Bone Pile,Undead Crypt,prop,P1,Season 1 - Arc 2,Text to 3D,Optional,1.2,free placement on 0.25m increments,400,1100,1024x1024,2,CAMERA_FOCUS optional,"organized low pile of stylized old bones and a few skull shapes, readable and non-graphic, with restrained repetition",Prompts/ConceptArt/env_undead_crypt_bone_pile_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_bone_pile_001_geometry.txt,Prompts/Texture/env_undead_crypt_bone_pile_001_texture.txt
env_undead_crypt_broken_statue_001,Estátua Quebrada,Broken Statue,Undead Crypt,prop,P1,Season 1 - Arc 2,Text to 3D,Optional,2.5,free placement on 0.25m increments,1200,3200,1024x1024,2,CAMERA_FOCUS optional,"weathered funerary knight statue fragment with broad broken planes, eroded face and stable stone base",Prompts/ConceptArt/env_undead_crypt_broken_statue_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_broken_statue_001_geometry.txt,Prompts/Texture/env_undead_crypt_broken_statue_001_texture.txt
env_undead_crypt_coffin_001,Caixão,Coffin,Undead Crypt,prop,P1,Season 1 - Arc 2,Text to 3D,Optional,2.2,free placement on 0.25m increments,900,2200,1024x1024,2,INTERACT_PRIMARY,"simple old wooden funerary coffin with iron fittings, beveled lid and restrained carved motif",Prompts/ConceptArt/env_undead_crypt_coffin_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_coffin_001_geometry.txt,Prompts/Texture/env_undead_crypt_coffin_001_texture.txt
env_undead_crypt_crypt_arch_001,Arco Funerário,Funerary Arch,Undead Crypt,structure,P1,Season 1 - Arc 2,Image to 3D,Yes,3.5,4m grid,1200,3200,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W,modular funerary stone arch with eroded geometric carvings and a clear 2.2 meter passage,Prompts/ConceptArt/env_undead_crypt_crypt_arch_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_crypt_arch_001_geometry.txt,Prompts/Texture/env_undead_crypt_crypt_arch_001_texture.txt
env_undead_crypt_crypt_column_001,Coluna de Cripta,Crypt Column,Undead Crypt,structure,P1,Season 1 - Arc 2,Image to 3D,Yes,3.0,4m grid,800,2200,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W,"three-meter crypt column with squared base, worn shaft and simple funerary capital",Prompts/ConceptArt/env_undead_crypt_crypt_column_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_crypt_column_001_geometry.txt,Prompts/Texture/env_undead_crypt_crypt_column_001_texture.txt
env_undead_crypt_crypt_door_001,Porta da Cripta,Crypt Door,Undead Crypt,structure,P1,Season 1 - Arc 2,Image to 3D,Yes,3.5,4m grid,1200,3000,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W; INTERACT_PRIMARY,"heavy stone-and-iron crypt door with broad panels, ring handle and no readable inscriptions",Prompts/ConceptArt/env_undead_crypt_crypt_door_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_crypt_door_001_geometry.txt,Prompts/Texture/env_undead_crypt_crypt_door_001_texture.txt
env_undead_crypt_crypt_floor_tile_001,Piso de Cripta,Crypt Floor Tile,Undead Crypt,tile,P1,Season 1 - Arc 2,Text to 3D,Optional,4.0,4m grid,600,1500,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W,"4 by 4 meter funerary stone floor tile with broad slabs, shallow cracks and subtle ritual border shapes",Prompts/ConceptArt/env_undead_crypt_crypt_floor_tile_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_crypt_floor_tile_001_geometry.txt,Prompts/Texture/env_undead_crypt_crypt_floor_tile_001_texture.txt
env_undead_crypt_crypt_iron_gate_001,Grade de Cripta,Crypt Iron Gate,Undead Crypt,prop,P1,Season 1 - Arc 2,Text to 3D,Optional,3.0,4m grid,900,2400,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W; INTERACT_PRIMARY,"heavy aged iron gate with thick vertical bars, broad hinges and mobile-safe spacing",Prompts/ConceptArt/env_undead_crypt_crypt_iron_gate_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_crypt_iron_gate_001_geometry.txt,Prompts/Texture/env_undead_crypt_crypt_iron_gate_001_texture.txt
env_undead_crypt_crypt_wall_corner_001,Canto de Cripta,Crypt Wall Corner,Undead Crypt,wall,P1,Season 1 - Arc 2,Image to 3D,Yes,4.0,4m grid,1400,4000,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W,90-degree 4 meter modular crypt wall corner with eroded masonry and clean snap boundaries,Prompts/ConceptArt/env_undead_crypt_crypt_wall_corner_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_crypt_wall_corner_001_geometry.txt,Prompts/Texture/env_undead_crypt_crypt_wall_corner_001_texture.txt
env_undead_crypt_crypt_wall_straight_001,Parede de Cripta,Crypt Wall,Undead Crypt,wall,P1,Season 1 - Arc 2,Image to 3D,Yes,4.0,4m grid,1200,3500,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W,straight 4 meter modular crypt wall with funerary recesses concentrated near the edges,Prompts/ConceptArt/env_undead_crypt_crypt_wall_straight_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_crypt_wall_straight_001_geometry.txt,Prompts/Texture/env_undead_crypt_crypt_wall_straight_001_texture.txt
env_undead_crypt_grave_marker_001,Lápide,Grave Marker,Undead Crypt,prop,P1,Season 1 - Arc 2,Text to 3D,Optional,1.5,free placement on 0.25m increments,400,1000,1024x1024,2,CAMERA_FOCUS optional,"stylized eroded grave marker with a broad silhouette and abstract symbol shapes, no readable text",Prompts/ConceptArt/env_undead_crypt_grave_marker_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_grave_marker_001_geometry.txt,Prompts/Texture/env_undead_crypt_grave_marker_001_texture.txt
env_undead_crypt_hanging_chain_001,Corrente Suspensa,Hanging Chain,Undead Crypt,prop,P1,Season 1 - Arc 2,Text to 3D,Optional,2.5,free placement on 0.25m increments,300,800,1024x1024,2,CAMERA_FOCUS optional,"short segment of oversized aged iron chain designed as a rigid or lightly animated prop, with thick links",Prompts/ConceptArt/env_undead_crypt_hanging_chain_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_hanging_chain_001_geometry.txt,Prompts/Texture/env_undead_crypt_hanging_chain_001_texture.txt
env_undead_crypt_lich_throne_001,Trono do Lich,Lich Throne,Undead Crypt,hero prop,P1,Season 1 - Arc 2,Image to 3D,Yes,4.0,free placement on 0.25m increments,3000,7500,1024x1024,2,CAMERA_FOCUS; INTERACT_PRIMARY,"monumental lich throne of black funerary stone, bone inlays and a vertical necromantic crystal focus behind the seat",Prompts/ConceptArt/env_undead_crypt_lich_throne_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_lich_throne_001_geometry.txt,Prompts/Texture/env_undead_crypt_lich_throne_001_texture.txt
env_undead_crypt_necromantic_crystal_001,Cristal Necromântico,Necromantic Crystal,Undead Crypt,prop,P1,Season 1 - Arc 2,Text to 3D,Optional,1.5,free placement on 0.25m increments,500,1400,1024x1024,2,VFX_CRYSTAL_CORE,faceted pale-violet necromantic crystal cluster with thick connected shards and a stable stone base,Prompts/ConceptArt/env_undead_crypt_necromantic_crystal_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_necromantic_crystal_001_geometry.txt,Prompts/Texture/env_undead_crypt_necromantic_crystal_001_texture.txt
env_undead_crypt_necromantic_portal_001,Portal Necromântico,Necromantic Portal,Undead Crypt,hero prop,P1,Season 1 - Arc 2,Image to 3D,Yes,4.0,free placement on 0.25m increments,2500,6500,1024x1024,2,VFX_PORTAL_CORE; CAMERA_FOCUS; INTERACT_PRIMARY,"large ritual portal frame of cold stone, bone accents and an empty inner opening reserved for Unity VFX",Prompts/ConceptArt/env_undead_crypt_necromantic_portal_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_necromantic_portal_001_geometry.txt,Prompts/Texture/env_undead_crypt_necromantic_portal_001_texture.txt
env_undead_crypt_ossuary_001,Ossário,Ossuary,Undead Crypt,prop,P1,Season 1 - Arc 2,Text to 3D,Optional,2.0,free placement on 0.25m increments,1000,2600,1024x1024,2,CAMERA_FOCUS optional,"wall-adjacent ossuary container with ordered bone compartments, broad masonry frame and non-graphic presentation",Prompts/ConceptArt/env_undead_crypt_ossuary_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_ossuary_001_geometry.txt,Prompts/Texture/env_undead_crypt_ossuary_001_texture.txt
env_undead_crypt_ritual_altar_001,Altar Ritual,Ritual Altar,Undead Crypt,hero prop,P1,Season 1 - Arc 2,Image to 3D,Yes,2.0,free placement on 0.25m increments,1800,4500,1024x1024,2,CAMERA_FOCUS; INTERACT_PRIMARY,"waist-high necromantic ritual altar with broad stone top, shallow rune channels and crystal or candle sockets",Prompts/ConceptArt/env_undead_crypt_ritual_altar_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_ritual_altar_001_geometry.txt,Prompts/Texture/env_undead_crypt_ritual_altar_001_texture.txt
env_undead_crypt_sarcophagus_001,Sarcófago,Sarcophagus,Undead Crypt,prop,P1,Season 1 - Arc 2,Text to 3D,Optional,2.2,free placement on 0.25m increments,1200,3000,1024x1024,2,INTERACT_PRIMARY,"heavy carved stone sarcophagus with a readable lid seam, eroded funerary figure and stable rectangular base",Prompts/ConceptArt/env_undead_crypt_sarcophagus_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_sarcophagus_001_geometry.txt,Prompts/Texture/env_undead_crypt_sarcophagus_001_texture.txt
env_undead_crypt_spectral_brazier_001,Braseiro Espectral,Spectral Brazier,Undead Crypt,prop,P1,Season 1 - Arc 2,Text to 3D,Optional,1.5,free placement on 0.25m increments,700,1800,1024x1024,2,VFX_FLAME,"stone-and-iron brazier with broad bowl, thick legs and an empty flame volume reserved for spectral Unity VFX",Prompts/ConceptArt/env_undead_crypt_spectral_brazier_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_spectral_brazier_001_geometry.txt,Prompts/Texture/env_undead_crypt_spectral_brazier_001_texture.txt
env_undead_crypt_spectral_candle_001,Vela Espectral,Spectral Candle,Undead Crypt,prop,P1,Season 1 - Arc 2,Text to 3D,Optional,0.5,free placement on 0.25m increments,250,600,1024x1024,2,VFX_FLAME,"chunky short funerary candle with broad wax body, simple holder and a small spectral flame socket",Prompts/ConceptArt/env_undead_crypt_spectral_candle_001_concept_sheet.txt,Prompts/Meshy/env_undead_crypt_spectral_candle_001_geometry.txt,Prompts/Texture/env_undead_crypt_spectral_candle_001_texture.txt
env_infernal_fortress_basalt_floor_tile_001,Piso de Basalto,Basalt Floor Tile,Infernal Fortress,tile,P1,Season 1 - Arc 3,Text to 3D,Optional,4.0,4m grid,700,1800,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W,"4 by 4 meter black basalt floor tile with broad plates, restrained cracks and channels reserved for emissive material",Prompts/ConceptArt/env_infernal_fortress_basalt_floor_tile_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_basalt_floor_tile_001_geometry.txt,Prompts/Texture/env_infernal_fortress_basalt_floor_tile_001_texture.txt
env_infernal_fortress_demon_lord_throne_001,Trono do Lorde Demônio,Demon Lord Throne,Infernal Fortress,hero prop,P1,Season 1 - Arc 3,Image to 3D,Yes,5.0,free placement on 0.25m increments,3500,9000,1024x1024,2,CAMERA_FOCUS; INTERACT_PRIMARY,massive demon lord throne of basalt and burned iron with a broad horn-like back silhouette and central infernal core socket,Prompts/ConceptArt/env_infernal_fortress_demon_lord_throne_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_demon_lord_throne_001_geometry.txt,Prompts/Texture/env_infernal_fortress_demon_lord_throne_001_texture.txt
env_infernal_fortress_demon_weapon_rack_001,Arsenal Demoníaco,Demon Weapon Rack,Infernal Fortress,prop,P1,Season 1 - Arc 3,Text to 3D,Optional,2.2,free placement on 0.25m increments,1200,3000,1024x1024,2,CAMERA_FOCUS optional,heavy infernal weapon rack with broad supports and empty readable slots for separate demon weapons,Prompts/ConceptArt/env_infernal_fortress_demon_weapon_rack_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_demon_weapon_rack_001_geometry.txt,Prompts/Texture/env_infernal_fortress_demon_weapon_rack_001_texture.txt
env_infernal_fortress_demonic_pillar_001,Pilar Demoníaco,Demonic Pillar,Infernal Fortress,structure,P1,Season 1 - Arc 3,Image to 3D,Yes,3.5,4m grid,1300,3500,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W,three-and-a-half meter basalt pillar with burned iron braces and controlled downward wedge motifs,Prompts/ConceptArt/env_infernal_fortress_demonic_pillar_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_demonic_pillar_001_geometry.txt,Prompts/Texture/env_infernal_fortress_demonic_pillar_001_texture.txt
env_infernal_fortress_infernal_arch_001,Arco Infernal,Infernal Arch,Infernal Fortress,structure,P1,Season 1 - Arc 3,Image to 3D,Yes,4.0,4m grid,1500,4000,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W,four-meter monumental infernal arch of basalt and burned iron with broad readable wedge forms,Prompts/ConceptArt/env_infernal_fortress_infernal_arch_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_infernal_arch_001_geometry.txt,Prompts/Texture/env_infernal_fortress_infernal_arch_001_texture.txt
env_infernal_fortress_infernal_arena_ring_001,Anel da Arena Infernal,Infernal Arena Ring,Infernal Fortress,large prop,P1,Season 1 - Arc 3,Image to 3D,Yes,8.0,4m grid,2500,7000,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W; CAMERA_FOCUS,"eight-meter modular circular arena rim section with basalt steps, iron braces and VFX sockets around the perimeter",Prompts/ConceptArt/env_infernal_fortress_infernal_arena_ring_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_infernal_arena_ring_001_geometry.txt,Prompts/Texture/env_infernal_fortress_infernal_arena_ring_001_texture.txt
env_infernal_fortress_infernal_brazier_001,Braseiro Infernal,Infernal Brazier,Infernal Fortress,prop,P1,Season 1 - Arc 3,Text to 3D,Optional,1.6,free placement on 0.25m increments,800,2000,1024x1024,2,VFX_FLAME,"heavy basalt-and-iron brazier with wide bowl, thick supports and flame socket",Prompts/ConceptArt/env_infernal_fortress_infernal_brazier_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_infernal_brazier_001_geometry.txt,Prompts/Texture/env_infernal_fortress_infernal_brazier_001_texture.txt
env_infernal_fortress_infernal_bridge_001,Ponte Infernal,Infernal Bridge,Infernal Fortress,large prop,P1,Season 1 - Arc 3,Image to 3D,Yes,7.0,4m grid,2500,6500,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W; CAMERA_FOCUS,seven-meter heavy basalt bridge with burned iron rails and restrained lava-channel recesses,Prompts/ConceptArt/env_infernal_fortress_infernal_bridge_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_infernal_bridge_001_geometry.txt,Prompts/Texture/env_infernal_fortress_infernal_bridge_001_texture.txt
env_infernal_fortress_infernal_cage_001,Jaula Infernal,Infernal Cage,Infernal Fortress,prop,P1,Season 1 - Arc 3,Text to 3D,Optional,2.5,free placement on 0.25m increments,1000,2800,1024x1024,2,INTERACT_PRIMARY,"large burned-iron prison cage with thick bars, broad locking frame and stable footprint",Prompts/ConceptArt/env_infernal_fortress_infernal_cage_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_infernal_cage_001_geometry.txt,Prompts/Texture/env_infernal_fortress_infernal_cage_001_texture.txt
env_infernal_fortress_infernal_chain_001,Corrente Infernal,Infernal Chain,Infernal Fortress,prop,P1,Season 1 - Arc 3,Text to 3D,Optional,3.0,free placement on 0.25m increments,400,1000,1024x1024,2,CAMERA_FOCUS optional,oversized burned-iron chain segment with thick links suitable for static or lightly animated use,Prompts/ConceptArt/env_infernal_fortress_infernal_chain_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_infernal_chain_001_geometry.txt,Prompts/Texture/env_infernal_fortress_infernal_chain_001_texture.txt
