asset_id,display_name_pt,display_name_en,profession,tier,priority,production_phase,meshy_method,source_art_required,scale_m,lod0_tri_min,lod0_tri_max,texture_resolution,required_sockets,design_brief,concept_prompt_path,meshy_prompt_path,texture_prompt_path
station_alchemist_t05_001,Laboratório T5,Laboratory T5,Alquimista,T5,P2,Season 1,Image to 3D,Yes,3.5,6000,8500,1024x1024,WORK_CAULDRON; INTERACT_WORK; OUTPUT_SPAWN; CAMERA_FOCUS; AUDIO_WORK; VFX_PRIMARY; VFX_SECONDARY,"Laboratory milestone station for Alquimista, Mestre / Ancestral; irregular, organic and clustered; includes cauldron, bottles, tubes, herb rack, burner, mortar and a clear mixing position",Prompts/ConceptArt/station_alchemist_t05_001_concept_sheet.txt,Prompts/Meshy/station_alchemist_t05_001_geometry.txt,Prompts/Texture/station_alchemist_t05_001_texture.txt
station_alchemist_t07_001,Laboratório T7,Laboratory T7,Alquimista,T7,P2,Season 1,Image to 3D,Yes,3.5,7000,9500,2048x2048,WORK_CAULDRON; INTERACT_WORK; OUTPUT_SPAWN; CAMERA_FOCUS; AUDIO_WORK; VFX_PRIMARY; VFX_SECONDARY,"Laboratory milestone station for Alquimista, Grão-Mestre / Astral; irregular, organic and clustered; includes cauldron, bottles, tubes, herb rack, burner, mortar and a clear mixing position",Prompts/ConceptArt/station_alchemist_t07_001_concept_sheet.txt,Prompts/Meshy/station_alchemist_t07_001_geometry.txt,Prompts/Texture/station_alchemist_t07_001_texture.txt
station_blacksmith_t05_001,Forja T5,Forge T5,Ferreiro,T5,P2,Season 1,Image to 3D,Yes,3.5,6000,8500,1024x1024,WORK_ANVIL; INTERACT_WORK; OUTPUT_SPAWN; CAMERA_FOCUS; AUDIO_WORK; VFX_PRIMARY; VFX_SECONDARY,"Forge milestone station for Ferreiro, Mestre / Ancestral; square, heavy and grounded; includes furnace, anvil, bellows, tool rack, coal or ember bed and a clear hammering work area",Prompts/ConceptArt/station_blacksmith_t05_001_concept_sheet.txt,Prompts/Meshy/station_blacksmith_t05_001_geometry.txt,Prompts/Texture/station_blacksmith_t05_001_texture.txt
station_blacksmith_t07_001,Forja T7,Forge T7,Ferreiro,T7,P2,Season 1,Image to 3D,Yes,3.5,7000,9500,2048x2048,WORK_ANVIL; INTERACT_WORK; OUTPUT_SPAWN; CAMERA_FOCUS; AUDIO_WORK; VFX_PRIMARY; VFX_SECONDARY,"Forge milestone station for Ferreiro, Grão-Mestre / Astral; square, heavy and grounded; includes furnace, anvil, bellows, tool rack, coal or ember bed and a clear hammering work area",Prompts/ConceptArt/station_blacksmith_t07_001_concept_sheet.txt,Prompts/Meshy/station_blacksmith_t07_001_geometry.txt,Prompts/Texture/station_blacksmith_t07_001_texture.txt
station_enchanter_t05_001,Mesa Arcana T5,Arcane Table T5,Encantador,T5,P2,Season 1,Image to 3D,Yes,3.5,6000,8500,1024x1024,WORK_RUNE_TABLE; INTERACT_WORK; OUTPUT_SPAWN; CAMERA_FOCUS; AUDIO_WORK; VFX_PRIMARY; VFX_SECONDARY,"Arcane Table milestone station for Encantador, Mestre / Ancestral; circular, vertical and centered; includes runic table, crystals, books, inscription tools, one controlled floating focus and a clear channeling position",Prompts/ConceptArt/station_enchanter_t05_001_concept_sheet.txt,Prompts/Meshy/station_enchanter_t05_001_geometry.txt,Prompts/Texture/station_enchanter_t05_001_texture.txt
station_enchanter_t07_001,Mesa Arcana T7,Arcane Table T7,Encantador,T7,P2,Season 1,Image to 3D,Yes,3.5,7000,9500,2048x2048,WORK_RUNE_TABLE; INTERACT_WORK; OUTPUT_SPAWN; CAMERA_FOCUS; AUDIO_WORK; VFX_PRIMARY; VFX_SECONDARY,"Arcane Table milestone station for Encantador, Grão-Mestre / Astral; circular, vertical and centered; includes runic table, crystals, books, inscription tools, one controlled floating focus and a clear channeling position",Prompts/ConceptArt/station_enchanter_t07_001_concept_sheet.txt,Prompts/Meshy/station_enchanter_t07_001_geometry.txt,Prompts/Texture/station_enchanter_t07_001_texture.txt
station_gatherer_t05_001,Acampamento de Expedição T5,Expedition Camp T5,Coletador,T5,P2,Season 1,Image to 3D,Yes,3.5,6000,8500,1024x1024,WORK_MAP_TABLE; INTERACT_WORK; OUTPUT_SPAWN; CAMERA_FOCUS; AUDIO_WORK; VFX_PRIMARY; VFX_SECONDARY,"Expedition Camp milestone station for Coletador, Mestre / Ancestral; triangular, robust and portable; includes small shelter, backpack, maps, crates, rope, mining or gathering tools and a clear planning position",Prompts/ConceptArt/station_gatherer_t05_001_concept_sheet.txt,Prompts/Meshy/station_gatherer_t05_001_geometry.txt,Prompts/Texture/station_gatherer_t05_001_texture.txt
station_gatherer_t07_001,Acampamento de Expedição T7,Expedition Camp T7,Coletador,T7,P2,Season 1,Image to 3D,Yes,3.5,7000,9500,2048x2048,WORK_MAP_TABLE; INTERACT_WORK; OUTPUT_SPAWN; CAMERA_FOCUS; AUDIO_WORK; VFX_PRIMARY; VFX_SECONDARY,"Expedition Camp milestone station for Coletador, Grão-Mestre / Astral; triangular, robust and portable; includes small shelter, backpack, maps, crates, rope, mining or gathering tools and a clear planning position",Prompts/ConceptArt/station_gatherer_t07_001_concept_sheet.txt,Prompts/Meshy/station_gatherer_t07_001_geometry.txt,Prompts/Texture/station_gatherer_t07_001_texture.txt
station_tailor_t05_001,Ateliê T5,Atelier T5,Costureiro,T5,P2,Season 1,Image to 3D,Yes,3.5,6000,8500,1024x1024,WORK_BENCH; INTERACT_WORK; OUTPUT_SPAWN; CAMERA_FOCUS; AUDIO_WORK; VFX_PRIMARY; VFX_SECONDARY,"Atelier milestone station for Costureiro, Mestre / Ancestral; horizontal, organized and layered; includes workbench, mannequin, fabric rolls, leather sheets, thread spools, cutting tools and a clear sewing work area",Prompts/ConceptArt/station_tailor_t05_001_concept_sheet.txt,Prompts/Meshy/station_tailor_t05_001_geometry.txt,Prompts/Texture/station_tailor_t05_001_texture.txt
station_tailor_t07_001,Ateliê T7,Atelier T7,Costureiro,T7,P2,Season 1,Image to 3D,Yes,3.5,7000,9500,2048x2048,WORK_BENCH; INTERACT_WORK; OUTPUT_SPAWN; CAMERA_FOCUS; AUDIO_WORK; VFX_PRIMARY; VFX_SECONDARY,"Atelier milestone station for Costureiro, Grão-Mestre / Astral; horizontal, organized and layered; includes workbench, mannequin, fabric rolls, leather sheets, thread spools, cutting tools and a clear sewing work area",Prompts/ConceptArt/station_tailor_t07_001_concept_sheet.txt,Prompts/Meshy/station_tailor_t07_001_geometry.txt,Prompts/Texture/station_tailor_t07_001_texture.txt
station_alchemist_t09_001,Laboratório T9,Laboratory T9,Alquimista,T9,P3,Post-MVP,Image to 3D,Yes,3.5,8000,10500,2048x2048,WORK_CAULDRON; INTERACT_WORK; OUTPUT_SPAWN; CAMERA_FOCUS; AUDIO_WORK; VFX_PRIMARY; VFX_SECONDARY,"Laboratory milestone station for Alquimista, Deus / Criação; irregular, organic and clustered; includes cauldron, bottles, tubes, herb rack, burner, mortar and a clear mixing position",Prompts/ConceptArt/station_alchemist_t09_001_concept_sheet.txt,Prompts/Meshy/station_alchemist_t09_001_geometry.txt,Prompts/Texture/station_alchemist_t09_001_texture.txt
station_blacksmith_t09_001,Forja T9,Forge T9,Ferreiro,T9,P3,Post-MVP,Image to 3D,Yes,3.5,8000,10500,2048x2048,WORK_ANVIL; INTERACT_WORK; OUTPUT_SPAWN; CAMERA_FOCUS; AUDIO_WORK; VFX_PRIMARY; VFX_SECONDARY,"Forge milestone station for Ferreiro, Deus / Criação; square, heavy and grounded; includes furnace, anvil, bellows, tool rack, coal or ember bed and a clear hammering work area",Prompts/ConceptArt/station_blacksmith_t09_001_concept_sheet.txt,Prompts/Meshy/station_blacksmith_t09_001_geometry.txt,Prompts/Texture/station_blacksmith_t09_001_texture.txt
station_enchanter_t09_001,Mesa Arcana T9,Arcane Table T9,Encantador,T9,P3,Post-MVP,Image to 3D,Yes,3.5,8000,10500,2048x2048,WORK_RUNE_TABLE; INTERACT_WORK; OUTPUT_SPAWN; CAMERA_FOCUS; AUDIO_WORK; VFX_PRIMARY; VFX_SECONDARY,"Arcane Table milestone station for Encantador, Deus / Criação; circular, vertical and centered; includes runic table, crystals, books, inscription tools, one controlled floating focus and a clear channeling position",Prompts/ConceptArt/station_enchanter_t09_001_concept_sheet.txt,Prompts/Meshy/station_enchanter_t09_001_geometry.txt,Prompts/Texture/station_enchanter_t09_001_texture.txt
station_gatherer_t09_001,Acampamento de Expedição T9,Expedition Camp T9,Coletador,T9,P3,Post-MVP,Image to 3D,Yes,3.5,8000,10500,2048x2048,WORK_MAP_TABLE; INTERACT_WORK; OUTPUT_SPAWN; CAMERA_FOCUS; AUDIO_WORK; VFX_PRIMARY; VFX_SECONDARY,"Expedition Camp milestone station for Coletador, Deus / Criação; triangular, robust and portable; includes small shelter, backpack, maps, crates, rope, mining or gathering tools and a clear planning position",Prompts/ConceptArt/station_gatherer_t09_001_concept_sheet.txt,Prompts/Meshy/station_gatherer_t09_001_geometry.txt,Prompts/Texture/station_gatherer_t09_001_texture.txt
station_tailor_t09_001,Ateliê T9,Atelier T9,Costureiro,T9,P3,Post-MVP,Image to 3D,Yes,3.5,8000,10500,2048x2048,WORK_BENCH; INTERACT_WORK; OUTPUT_SPAWN; CAMERA_FOCUS; AUDIO_WORK; VFX_PRIMARY; VFX_SECONDARY,"Atelier milestone station for Costureiro, Deus / Criação; horizontal, organized and layered; includes workbench, mannequin, fabric rolls, leather sheets, thread spools, cutting tools and a clear sewing work area",Prompts/ConceptArt/station_tailor_t09_001_concept_sheet.txt,Prompts/Meshy/station_tailor_t09_001_geometry.txt,Prompts/Texture/station_tailor_t09_001_texture.txt
