"asset_id","display_name_pt","display_name_en","canonical_task","canonical_catalog","source_catalogs","definition_count","asset_class","domain","category","production_phase","priority","tier","generation_method","catalog_status","task019_queue","prompt_count","concept_prompt_path","geometry_prompt_path","texture_prompt_path","pipeline_path","unity_target_path","unity_target_kind"
"anim_enemy_humanoid_melee","Animações — Inimigo Melee","Enemy Melee Animation Set","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","Animation","Animation","Animation Set","Season 1","P1","N/A","Meshy Animate + manual cleanup","Planned","No","0","","","","","Assets/_Game/Art/Animations/Global","Planned destination; existence not asserted"
"anim_enemy_humanoid_ranged","Animações — Inimigo Ranged","Enemy Ranged Animation Set","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","Animation","Animation","Animation Set","Season 1","P1","N/A","Meshy Animate + manual cleanup","Planned","No","0","","","","","Assets/_Game/Art/Animations/Global","Planned destination; existence not asserted"
"anim_enemy_imp","Animações — Diabrete","Imp Animation Set","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","Animation","Animation","Animation Set","Season 1","P1","N/A","Meshy Animate + manual cleanup","Planned","No","0","","","","","Assets/_Game/Art/Animations/Demon","Planned destination; existence not asserted"
"anim_hero_caster_humanoid","Animações — Herói Conjurador","Hero Caster Animation Set","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","Animation","Animation","Animation Set","Vertical Slice","P0","N/A","Meshy Animate + manual cleanup","Planned","No","0","","","","","Assets/_Game/Art/Animations/Heroes","Planned destination; existence not asserted"
"anim_hero_ranged_humanoid","Animações — Herói Ranged","Hero Ranged Animation Set","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","Animation","Animation","Animation Set","Vertical Slice","P0","N/A","Meshy Animate + manual cleanup","Planned","No","0","","","","","Assets/_Game/Art/Animations/Heroes","Planned destination; existence not asserted"
"anim_hero_tank_humanoid","Animações — Herói Tanque","Hero Tank Animation Set","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","Animation","Animation","Animation Set","Vertical Slice","P0","N/A","Meshy Animate + manual cleanup","Planned","No","0","","","","","Assets/_Game/Art/Animations/Heroes","Planned destination; existence not asserted"
"anim_loot_chest","Animações — Baú","Loot Chest Animation Set","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","Animation","Animation","Animation Set","Vertical Slice","P0","N/A","Meshy Animate + manual cleanup","Planned","No","0","","","","","Assets/_Game/Art/Animations/Rewards","Planned destination; existence not asserted"
"boss_bone_knight_001","Cavaleiro Ósseo","Bone Knight","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","3D Model","Character","Enemy Boss","Season 1 - Arc 2","P1","N/A","Multi-view Image to 3D","Planned","No","0","","","","","Assets/_Game/Art/Characters/Enemies/Undead/bone_knight_001/Models","Planned destination; existence not asserted"
"boss_demon_lord_001","Lorde Demônio","Demon Lord","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","3D Model","Character","Enemy Boss","Season 1 - Arc 3","P1","N/A","Multi-view Image to 3D","Planned","No","0","","","","","Assets/_Game/Art/Characters/Enemies/Demon/demon_lord_001/Models","Planned destination; existence not asserted"
"boss_goblin_chieftain_001","Chefe Goblin","Goblin Chieftain","Task016","IdleMedievalLegends_Task016_CharacterDesignPack/Examples/CHARACTER_PRODUCTION_SHEETS.csv","Task015;Task016;Task019","2","3D Model","Character","Mid-Boss","MVP","P1","N/A","Multi-view Image to 3D","Planned","Yes","3","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/ConceptArt/boss_goblin_chieftain_001_concept_sheet.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/Meshy/boss_goblin_chieftain_001_meshy_character.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/Texture/boss_goblin_chieftain_001_texture.txt","IdleMedievalLegends_Task019_MeshyOperations/Combined/boss_goblin_chieftain_001_PIPELINE.md","Assets/_Game/Art/Characters/boss_goblin_chieftain_001","Planned destination; existence not asserted"
"boss_goblin_king_001","Rei Goblin","Goblin King","Task016","IdleMedievalLegends_Task016_CharacterDesignPack/Examples/CHARACTER_PRODUCTION_SHEETS.csv","Task015;Task016;Task019","2","3D Model","Character","Final Boss","MVP","P1","N/A","Multi-view Image to 3D","Planned","Yes","3","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/ConceptArt/boss_goblin_king_001_concept_sheet.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/Meshy/boss_goblin_king_001_meshy_character.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/Texture/boss_goblin_king_001_texture.txt","IdleMedievalLegends_Task019_MeshyOperations/Combined/boss_goblin_king_001_PIPELINE.md","Assets/_Game/Art/Characters/boss_goblin_king_001","Planned destination; existence not asserted"
"boss_incubus_warden_001","Guardião Íncubo","Incubus Warden","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","3D Model","Character","Enemy Boss","Season 1 - Arc 3","P1","N/A","Multi-view Image to 3D","Planned","No","0","","","","","Assets/_Game/Art/Characters/Enemies/Demon/incubus_warden_001/Models","Planned destination; existence not asserted"
"boss_lich_001","Lich","Lich","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","3D Model","Character","Enemy Boss","Season 1 - Arc 2","P1","N/A","Multi-view Image to 3D","Planned","No","0","","","","","Assets/_Game/Art/Characters/Enemies/Undead/lich_001/Models","Planned destination; existence not asserted"
"currency_gold_coin_pile_001","Pilha de Moedas de Ouro","Gold Coin Pile","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","3D Model","Loot","Currency","Vertical Slice","P0","N/A","Text to 3D","Planned","No","0","","","","","Assets/_Game/Art/Props/Loot/Core","Planned destination; existence not asserted"
"currency_premium_gem_001","Gema Premium","Premium Gem","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","3D Model","Loot","Currency","Vertical Slice","P0","N/A","Text to 3D","Planned","No","0","","","","","Assets/_Game/Art/Props/Loot/Core","Planned destination; existence not asserted"
"enemy_bone_acolyte_001","Acólito Ósseo","Bone Acolyte","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","3D Model","Character","Enemy","Season 1 - Arc 2","P1","N/A","Image to 3D","Planned","No","0","","","","","Assets/_Game/Art/Characters/Enemies/Undead/bone_acolyte_001/Models","Planned destination; existence not asserted"
"enemy_bone_archmage_001","Arquimago Ósseo","Bone Archmage","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","3D Model","Character","Enemy","Season 1 - Arc 2","P2","N/A","Image to 3D","Planned","No","0","","","","","Assets/_Game/Art/Characters/Enemies/Undead/bone_archmage_001/Models","Planned destination; existence not asserted"
"enemy_death_knight_001","Cavaleiro da Morte","Death Knight","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","3D Model","Character","Enemy","Season 1 - Arc 2","P2","N/A","Image to 3D","Planned","No","0","","","","","Assets/_Game/Art/Characters/Enemies/Undead/death_knight_001/Models","Planned destination; existence not asserted"
"enemy_demon_knight_001","Cavaleiro Demoníaco","Demon Knight","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","3D Model","Character","Enemy","Season 1 - Arc 3","P2","N/A","Image to 3D","Planned","No","0","","","","","Assets/_Game/Art/Characters/Enemies/Demon/demon_knight_001/Models","Planned destination; existence not asserted"
"enemy_demon_ranger_001","Patrulheiro Demoníaco","Demon Ranger","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","3D Model","Character","Enemy","Season 1 - Arc 3","P2","N/A","Image to 3D","Planned","No","0","","","","","Assets/_Game/Art/Characters/Enemies/Demon/demon_ranger_001/Models","Planned destination; existence not asserted"
"enemy_ghoul_reaver_001","Carniçal Dilacerador","Ghoul Reaver","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","3D Model","Character","Enemy","Season 1 - Arc 2","P2","N/A","Image to 3D","Planned","No","0","","","","","Assets/_Game/Art/Characters/Enemies/Undead/ghoul_reaver_001/Models","Planned destination; existence not asserted"
"enemy_goblin_archer_001","Arqueiro Goblin","Goblin Archer","Task016","IdleMedievalLegends_Task016_CharacterDesignPack/Examples/CHARACTER_PRODUCTION_SHEETS.csv","Task015;Task016;Task019","2","3D Model","Character","Common Enemy","Vertical Slice","P0","N/A","Image to 3D","Planned","Yes","3","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/ConceptArt/enemy_goblin_archer_001_concept_sheet.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/Meshy/enemy_goblin_archer_001_meshy_character.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/Texture/enemy_goblin_archer_001_texture.txt","IdleMedievalLegends_Task019_MeshyOperations/Combined/enemy_goblin_archer_001_PIPELINE.md","Assets/_Game/Art/Characters/enemy_goblin_archer_001","Planned destination; existence not asserted"
"enemy_goblin_high_shaman_001","Alto Xamã Goblin","Goblin High Shaman","Task016","IdleMedievalLegends_Task016_CharacterDesignPack/Examples/CHARACTER_PRODUCTION_SHEETS.csv","Task015;Task016;Task019","2","3D Model","Character","Elite Enemy","MVP","P2","N/A","Multi-view Image to 3D","Planned","Yes","3","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/ConceptArt/enemy_goblin_high_shaman_001_concept_sheet.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/Meshy/enemy_goblin_high_shaman_001_meshy_character.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/Texture/enemy_goblin_high_shaman_001_texture.txt","IdleMedievalLegends_Task019_MeshyOperations/Combined/enemy_goblin_high_shaman_001_PIPELINE.md","Assets/_Game/Art/Characters/enemy_goblin_high_shaman_001","Planned destination; existence not asserted"
"enemy_goblin_ranger_001","Patrulheiro Goblin","Goblin Ranger","Task016","IdleMedievalLegends_Task016_CharacterDesignPack/Examples/CHARACTER_PRODUCTION_SHEETS.csv","Task015;Task016;Task019","2","3D Model","Character","Elite Enemy","MVP","P2","N/A","Multi-view Image to 3D","Planned","Yes","3","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/ConceptArt/enemy_goblin_ranger_001_concept_sheet.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/Meshy/enemy_goblin_ranger_001_meshy_character.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/Texture/enemy_goblin_ranger_001_texture.txt","IdleMedievalLegends_Task019_MeshyOperations/Combined/enemy_goblin_ranger_001_PIPELINE.md","Assets/_Game/Art/Characters/enemy_goblin_ranger_001","Planned destination; existence not asserted"
"enemy_goblin_scavenger_001","Goblin Saqueador","Goblin Scavenger","Task016","IdleMedievalLegends_Task016_CharacterDesignPack/Examples/CHARACTER_PRODUCTION_SHEETS.csv","Task015;Task016;Task019","2","3D Model","Character","Common Enemy","Vertical Slice","P0","N/A","Image to 3D","Planned","Yes","3","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/ConceptArt/enemy_goblin_scavenger_001_concept_sheet.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/Meshy/enemy_goblin_scavenger_001_meshy_character.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/Texture/enemy_goblin_scavenger_001_texture.txt","IdleMedievalLegends_Task019_MeshyOperations/Combined/enemy_goblin_scavenger_001_PIPELINE.md","Assets/_Game/Art/Characters/enemy_goblin_scavenger_001","Planned destination; existence not asserted"
"enemy_goblin_shaman_001","Xamã Goblin","Goblin Shaman","Task016","IdleMedievalLegends_Task016_CharacterDesignPack/Examples/CHARACTER_PRODUCTION_SHEETS.csv","Task015;Task016;Task019","2","3D Model","Character","Special Enemy","MVP","P1","N/A","Image to 3D","Planned","Yes","3","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/ConceptArt/enemy_goblin_shaman_001_concept_sheet.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/Meshy/enemy_goblin_shaman_001_meshy_character.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/Texture/enemy_goblin_shaman_001_texture.txt","IdleMedievalLegends_Task019_MeshyOperations/Combined/enemy_goblin_shaman_001_PIPELINE.md","Assets/_Game/Art/Characters/enemy_goblin_shaman_001","Planned destination; existence not asserted"
"enemy_goblin_warrior_001","Guerreiro Goblin","Goblin Warrior","Task016","IdleMedievalLegends_Task016_CharacterDesignPack/Examples/CHARACTER_PRODUCTION_SHEETS.csv","Task015;Task016;Task019","2","3D Model","Character","Common Enemy","Vertical Slice","P0","N/A","Image to 3D","Planned","Yes","3","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/ConceptArt/enemy_goblin_warrior_001_concept_sheet.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/Meshy/enemy_goblin_warrior_001_meshy_character.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/Texture/enemy_goblin_warrior_001_texture.txt","IdleMedievalLegends_Task019_MeshyOperations/Combined/enemy_goblin_warrior_001_PIPELINE.md","Assets/_Game/Art/Characters/enemy_goblin_warrior_001","Planned destination; existence not asserted"
"enemy_grave_ranger_001","Patrulheiro da Tumba","Grave Ranger","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","3D Model","Character","Enemy","Season 1 - Arc 2","P2","N/A","Image to 3D","Planned","No","0","","","","","Assets/_Game/Art/Characters/Enemies/Undead/grave_ranger_001/Models","Planned destination; existence not asserted"
"enemy_hobgoblin_knight_001","Cavaleiro Hobgoblin","Hobgoblin Knight","Task016","IdleMedievalLegends_Task016_CharacterDesignPack/Examples/CHARACTER_PRODUCTION_SHEETS.csv","Task015;Task016;Task019","2","3D Model","Character","Elite Enemy","MVP","P2","N/A","Multi-view Image to 3D","Planned","Yes","3","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/ConceptArt/enemy_hobgoblin_knight_001_concept_sheet.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/Meshy/enemy_hobgoblin_knight_001_meshy_character.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/Characters/Texture/enemy_hobgoblin_knight_001_texture.txt","IdleMedievalLegends_Task019_MeshyOperations/Combined/enemy_hobgoblin_knight_001_PIPELINE.md","Assets/_Game/Art/Characters/enemy_hobgoblin_knight_001","Planned destination; existence not asserted"
"enemy_imp_001","Diabrete","Imp","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","3D Model","Character","Enemy","Season 1 - Arc 3","P1","N/A","Image to 3D","Planned","No","0","","","","","Assets/_Game/Art/Characters/Enemies/Demon/imp_001/Models","Planned destination; existence not asserted"
"enemy_imp_legionary_001","Legionário Diabrete","Imp Legionary","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","3D Model","Character","Enemy","Season 1 - Arc 3","P1","N/A","Image to 3D","Planned","No","0","","","","","Assets/_Game/Art/Characters/Enemies/Demon/imp_legionary_001/Models","Planned destination; existence not asserted"
"enemy_imp_pyromancer_001","Piromante Diabrete","Imp Pyromancer","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","3D Model","Character","Enemy","Season 1 - Arc 3","P1","N/A","Image to 3D","Planned","No","0","","","","","Assets/_Game/Art/Characters/Enemies/Demon/imp_pyromancer_001/Models","Planned destination; existence not asserted"
"enemy_imp_skirmisher_001","Escaramuçador Diabrete","Imp Skirmisher","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","3D Model","Character","Enemy","Season 1 - Arc 3","P1","N/A","Image to 3D","Planned","No","0","","","","","Assets/_Game/Art/Characters/Enemies/Demon/imp_skirmisher_001/Models","Planned destination; existence not asserted"
"enemy_restless_skeleton_001","Esqueleto Inquieto","Restless Skeleton","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","3D Model","Character","Enemy","Season 1 - Arc 2","P1","N/A","Image to 3D","Planned","No","0","","","","","Assets/_Game/Art/Characters/Enemies/Undead/restless_skeleton_001/Models","Planned destination; existence not asserted"
"enemy_skeleton_archer_001","Arqueiro Esqueleto","Skeleton Archer","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","3D Model","Character","Enemy","Season 1 - Arc 2","P1","N/A","Image to 3D","Planned","No","0","","","","","Assets/_Game/Art/Characters/Enemies/Undead/skeleton_archer_001/Models","Planned destination; existence not asserted"
"enemy_skeleton_soldier_001","Soldado Esqueleto","Skeleton Soldier","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","3D Model","Character","Enemy","Season 1 - Arc 2","P1","N/A","Image to 3D","Planned","No","0","","","","","Assets/_Game/Art/Characters/Enemies/Undead/skeleton_soldier_001/Models","Planned destination; existence not asserted"
"enemy_succubus_enchantress_001","Encantadora Súcubo","Succubus Enchantress","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","3D Model","Character","Enemy","Season 1 - Arc 3","P2","N/A","Image to 3D","Planned","No","0","","","","","Assets/_Game/Art/Characters/Enemies/Demon/succubus_enchantress_001/Models","Planned destination; existence not asserted"
"env_goblin_mine_camp_gate_001","Portão do Acampamento","Camp Gate","Task018","IdleMedievalLegends_Task018_EnvironmentStations/Examples/ENVIRONMENT_STATION_PRODUCTION_CATALOG.csv","Task015;Task018;Task019","2","3D Model","Environment","large prop","Vertical Slice","P0","N/A","Image to 3D","Planned","Yes","3","IdleMedievalLegends_Task019_MeshyOperations/Prompts/EnvironmentStations/ConceptArt/env_goblin_mine_camp_gate_001_concept_sheet.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/EnvironmentStations/Meshy/env_goblin_mine_camp_gate_001_geometry.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/EnvironmentStations/Texture/env_goblin_mine_camp_gate_001_texture.txt","IdleMedievalLegends_Task019_MeshyOperations/Combined/env_goblin_mine_camp_gate_001_PIPELINE.md","Assets/_Game/Art/Environments/goblin_mine/Models","Planned destination; existence not asserted"
"env_goblin_mine_goblin_barrel_001","Barril Goblin","Goblin Barrel","Task018","IdleMedievalLegends_Task018_EnvironmentStations/Examples/ENVIRONMENT_STATION_PRODUCTION_CATALOG.csv","Task015;Task018;Task019","2","3D Model","Environment","prop","Vertical Slice","P0","N/A","Text to 3D","Planned","Yes","3","IdleMedievalLegends_Task019_MeshyOperations/Prompts/EnvironmentStations/ConceptArt/env_goblin_mine_goblin_barrel_001_concept_sheet.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/EnvironmentStations/Meshy/env_goblin_mine_goblin_barrel_001_geometry.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/EnvironmentStations/Texture/env_goblin_mine_goblin_barrel_001_texture.txt","IdleMedievalLegends_Task019_MeshyOperations/Combined/env_goblin_mine_goblin_barrel_001_PIPELINE.md","Assets/_Game/Art/Environments/goblin_mine/Models","Planned destination; existence not asserted"
"env_goblin_mine_goblin_crate_001","Caixote Goblin","Goblin Crate","Task018","IdleMedievalLegends_Task018_EnvironmentStations/Examples/ENVIRONMENT_STATION_PRODUCTION_CATALOG.csv","Task015;Task018;Task019","2","3D Model","Environment","prop","Vertical Slice","P0","N/A","Text to 3D","Planned","Yes","3","IdleMedievalLegends_Task019_MeshyOperations/Prompts/EnvironmentStations/ConceptArt/env_goblin_mine_goblin_crate_001_concept_sheet.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/EnvironmentStations/Meshy/env_goblin_mine_goblin_crate_001_geometry.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/EnvironmentStations/Texture/env_goblin_mine_goblin_crate_001_texture.txt","IdleMedievalLegends_Task019_MeshyOperations/Combined/env_goblin_mine_goblin_crate_001_PIPELINE.md","Assets/_Game/Art/Environments/goblin_mine/Models","Planned destination; existence not asserted"
"env_goblin_mine_goblin_king_throne_001","Trono do Rei Goblin","Goblin King Throne","Task018","IdleMedievalLegends_Task018_EnvironmentStations/Examples/ENVIRONMENT_STATION_PRODUCTION_CATALOG.csv","Task015;Task018;Task019","2","3D Model","Environment","hero prop","Vertical Slice","P0","N/A","Image to 3D","Planned","Yes","3","IdleMedievalLegends_Task019_MeshyOperations/Prompts/EnvironmentStations/ConceptArt/env_goblin_mine_goblin_king_throne_001_concept_sheet.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/EnvironmentStations/Meshy/env_goblin_mine_goblin_king_throne_001_geometry.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/EnvironmentStations/Texture/env_goblin_mine_goblin_king_throne_001_texture.txt","IdleMedievalLegends_Task019_MeshyOperations/Combined/env_goblin_mine_goblin_king_throne_001_PIPELINE.md","Assets/_Game/Art/Environments/goblin_mine/Models","Planned destination; existence not asserted"
"env_goblin_mine_goblin_tent_001","Tenda Goblin","Goblin Tent","Task018","IdleMedievalLegends_Task018_EnvironmentStations/Examples/ENVIRONMENT_STATION_PRODUCTION_CATALOG.csv","Task015;Task018;Task019","2","3D Model","Environment","large prop","Vertical Slice","P0","N/A","Image to 3D","Planned","Yes","3","IdleMedievalLegends_Task019_MeshyOperations/Prompts/EnvironmentStations/ConceptArt/env_goblin_mine_goblin_tent_001_concept_sheet.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/EnvironmentStations/Meshy/env_goblin_mine_goblin_tent_001_geometry.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/EnvironmentStations/Texture/env_goblin_mine_goblin_tent_001_texture.txt","IdleMedievalLegends_Task019_MeshyOperations/Combined/env_goblin_mine_goblin_tent_001_PIPELINE.md","Assets/_Game/Art/Environments/goblin_mine/Models","Planned destination; existence not asserted"
"env_goblin_mine_ground_dirt_tile_001","Piso de Terra","Dirt Ground Tile","Task018","IdleMedievalLegends_Task018_EnvironmentStations/Examples/ENVIRONMENT_STATION_PRODUCTION_CATALOG.csv","Task015;Task018;Task019","2","3D Model","Environment","tile","Vertical Slice","P0","N/A","Text to 3D","Planned","Yes","3","IdleMedievalLegends_Task019_MeshyOperations/Prompts/EnvironmentStations/ConceptArt/env_goblin_mine_ground_dirt_tile_001_concept_sheet.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/EnvironmentStations/Meshy/env_goblin_mine_ground_dirt_tile_001_geometry.txt","IdleMedievalLegends_Task019_MeshyOperations/Prompts/EnvironmentStations/Texture/env_goblin_mine_ground_dirt_tile_001_texture.txt","IdleMedievalLegends_Task019_MeshyOperations/Combined/env_goblin_mine_ground_dirt_tile_001_PIPELINE.md","Assets/_Game/Art/Environments/goblin_mine/Models","Planned destination; existence not asserted"
