asset_id,display_name_pt,display_name_en,asset_class,category,subcategory,faction_or_system,gameplay_role,production_phase,priority,tier,rarity_strategy,profession,biome,meshy_eligible,meshy_method,source_art_required,modularity,rig_type,animation_set,lod_required,lod0_tri_min,lod0_tri_max,lod1_ratio,lod2_ratio,texture_resolution,texture_maps,material_slots_max,scale_m,pivot,collider,export_format,unity_import_path,prefab_path,reuse_group,dependencies,expected_variants,status,approval_criteria,notes,source_reference
hero_archer_001,Arqueira,Archer,3D Model,Character,Playable Hero,Heroes,physical ranged damage,Vertical Slice,P0,N/A,None,None,Global,Yes,Multi-view Image to 3D,Yes,Full skin + separate weapon,Humanoid,anim_hero_ranged_humanoid,Yes,5000,8000,0.5,0.25,2048x2048,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,3,1.76,Between feet at ground,Capsule + hit boxes,FBX,Assets/_Game/Art/Characters/Heroes/Archer/Models,Assets/_Game/Prefabs/Characters/Heroes/PF_Archer.prefab,hero_humanoid_base,Approved front/back/side concept; standard humanoid skeleton,1,Planned,Readable at battle camera; valid A-pose; clean hands; weapon not fused; silhouette matches archetype,,ART_REF_001 + Visual Bible v1.0
hero_mage_001,Mago,Mage,3D Model,Character,Playable Hero,Heroes,magical area damage,Vertical Slice,P0,N/A,None,None,Global,Yes,Multi-view Image to 3D,Yes,Full skin + separate weapon,Humanoid,anim_hero_caster_humanoid,Yes,5000,8000,0.5,0.25,2048x2048,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,3,1.82,Between feet at ground,Capsule + hit boxes,FBX,Assets/_Game/Art/Characters/Heroes/Mage/Models,Assets/_Game/Prefabs/Characters/Heroes/PF_Mage.prefab,hero_humanoid_base,Approved front/back/side concept; standard humanoid skeleton,1,Planned,Readable at battle camera; valid A-pose; clean hands; weapon not fused; silhouette matches archetype,,ART_REF_001 + Visual Bible v1.0
hero_paladin_001,Paladino,Paladin,3D Model,Character,Playable Hero,Heroes,tank,Vertical Slice,P0,N/A,None,None,Global,Yes,Multi-view Image to 3D,Yes,Full skin + separate weapon,Humanoid,anim_hero_tank_humanoid,Yes,5000,8000,0.5,0.25,2048x2048,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,3,1.9,Between feet at ground,Capsule + hit boxes,FBX,Assets/_Game/Art/Characters/Heroes/Paladin/Models,Assets/_Game/Prefabs/Characters/Heroes/PF_Paladin.prefab,hero_humanoid_base,Approved front/back/side concept; standard humanoid skeleton,1,Planned,Readable at battle camera; valid A-pose; clean hands; weapon not fused; silhouette matches archetype,,ART_REF_001 + Visual Bible v1.0
icon_hero_archer_001,Ícone — Arqueira,Icon — Archer,2D Image,Character Art,Hero Icon,Heroes,Team/inventory/profile icon,Vertical Slice,P0,N/A,None,None,Global,No,None,No,Standalone,None,None,No,0,0,0,0,512x512,RGBA,0,0,N/A,None,PNG,Assets/_Game/Art/UI/Icons/Heroes/Archer,N/A,hero_icon_frame,portrait_hero_archer_001,1,Planned,Face and class readable at 64 px; no tiny details; rarity frame is separate,,ART_REF_001 + Visual Bible v1.0
icon_hero_mage_001,Ícone — Mago,Icon — Mage,2D Image,Character Art,Hero Icon,Heroes,Team/inventory/profile icon,Vertical Slice,P0,N/A,None,None,Global,No,None,No,Standalone,None,None,No,0,0,0,0,512x512,RGBA,0,0,N/A,None,PNG,Assets/_Game/Art/UI/Icons/Heroes/Mage,N/A,hero_icon_frame,portrait_hero_mage_001,1,Planned,Face and class readable at 64 px; no tiny details; rarity frame is separate,,ART_REF_001 + Visual Bible v1.0
icon_hero_paladin_001,Ícone — Paladino,Icon — Paladin,2D Image,Character Art,Hero Icon,Heroes,Team/inventory/profile icon,Vertical Slice,P0,N/A,None,None,Global,No,None,No,Standalone,None,None,No,0,0,0,0,512x512,RGBA,0,0,N/A,None,PNG,Assets/_Game/Art/UI/Icons/Heroes/Paladin,N/A,hero_icon_frame,portrait_hero_paladin_001,1,Planned,Face and class readable at 64 px; no tiny details; rarity frame is separate,,ART_REF_001 + Visual Bible v1.0
portrait_hero_archer_001,Retrato — Arqueira,Portrait — Archer,2D Image,Character Art,Hero Portrait,Heroes,Gacha/profile/hero detail,Vertical Slice,P0,N/A,None,None,Global,No,None,Yes,Standalone,None,None,No,0,0,0,0,2048x2048,RGBA,0,0,N/A,None,PNG,Assets/_Game/Art/UI/Portraits/Heroes/Archer,N/A,hero_portrait_frame,hero_archer_001,1,Planned,Exact costume and face match with approved 3D hero; transparent or controlled background,,ART_REF_001 + Visual Bible v1.0
portrait_hero_mage_001,Retrato — Mago,Portrait — Mage,2D Image,Character Art,Hero Portrait,Heroes,Gacha/profile/hero detail,Vertical Slice,P0,N/A,None,None,Global,No,None,Yes,Standalone,None,None,No,0,0,0,0,2048x2048,RGBA,0,0,N/A,None,PNG,Assets/_Game/Art/UI/Portraits/Heroes/Mage,N/A,hero_portrait_frame,hero_mage_001,1,Planned,Exact costume and face match with approved 3D hero; transparent or controlled background,,ART_REF_001 + Visual Bible v1.0
portrait_hero_paladin_001,Retrato — Paladino,Portrait — Paladin,2D Image,Character Art,Hero Portrait,Heroes,Gacha/profile/hero detail,Vertical Slice,P0,N/A,None,None,Global,No,None,Yes,Standalone,None,None,No,0,0,0,0,2048x2048,RGBA,0,0,N/A,None,PNG,Assets/_Game/Art/UI/Portraits/Heroes/Paladin,N/A,hero_portrait_frame,hero_paladin_001,1,Planned,Exact costume and face match with approved 3D hero; transparent or controlled background,,ART_REF_001 + Visual Bible v1.0
weapon_goblin_cleaver_001,Cutelo Goblin,Goblin Cleaver,3D Model,Character Prop,axe,Goblin,Equipment for Warrior,Vertical Slice,P0,N/A,None,None,Global,Yes,Text to 3D,Optional,Separate prop/socketed,None,Socketed to character,Yes,1000,3000,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,2,0.8,Grip/socket point; local forward +Z,Simple box/capsule or none,FBX,Assets/_Game/Art/Equipment/CharacterProps/Goblin,Assets/_Game/Prefabs/Equipment/weapon_goblin_cleaver_001.prefab,goblin_axe,Character socket standard; Warrior concept,1,Planned,Correct grip pivot; no hand attached; safe silhouette; no thin fragile pieces,,ART_REF_001 + Visual Bible v1.0
weapon_goblin_scrap_knife_001,Faca de Sucata Goblin,Goblin Scrap Knife,3D Model,Character Prop,dagger,Goblin,Equipment for Scavenger,Vertical Slice,P0,N/A,None,None,Global,Yes,Text to 3D,Optional,Separate prop/socketed,None,Socketed to character,Yes,1000,3000,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,2,0.8,Grip/socket point; local forward +Z,Simple box/capsule or none,FBX,Assets/_Game/Art/Equipment/CharacterProps/Goblin,Assets/_Game/Prefabs/Equipment/weapon_goblin_scrap_knife_001.prefab,goblin_dagger,Character socket standard; Scavenger concept,1,Planned,Correct grip pivot; no hand attached; safe silhouette; no thin fragile pieces,,ART_REF_001 + Visual Bible v1.0
weapon_goblin_shaman_staff_001,Cajado Xamânico Goblin,Goblin Shaman Staff,3D Model,Character Prop,staff,Goblin,Equipment for Shaman,Vertical Slice,P0,N/A,None,None,Global,Yes,Text to 3D,Optional,Separate prop/socketed,None,Socketed to character,Yes,1000,3000,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,2,1.5,Grip/socket point; local forward +Z,Simple box/capsule or none,FBX,Assets/_Game/Art/Equipment/CharacterProps/Goblin,Assets/_Game/Prefabs/Equipment/weapon_goblin_shaman_staff_001.prefab,goblin_staff,Character socket standard; Shaman concept,1,Planned,Correct grip pivot; no hand attached; safe silhouette; no thin fragile pieces,,ART_REF_001 + Visual Bible v1.0
weapon_goblin_shortbow_001,Arco Curto Goblin,Goblin Shortbow,3D Model,Character Prop,bow,Goblin,Equipment for Archer,Vertical Slice,P0,N/A,None,None,Global,Yes,Text to 3D,Optional,Separate prop/socketed,None,Socketed to character,Yes,1000,3000,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,2,1.5,Grip/socket point; local forward +Z,Simple box/capsule or none,FBX,Assets/_Game/Art/Equipment/CharacterProps/Goblin,Assets/_Game/Prefabs/Equipment/weapon_goblin_shortbow_001.prefab,goblin_bow,Character socket standard; Archer concept,1,Planned,Correct grip pivot; no hand attached; safe silhouette; no thin fragile pieces,,ART_REF_001 + Visual Bible v1.0
weapon_goblin_wood_shield_001,Escudo de Madeira Goblin,Goblin Wood Shield,3D Model,Character Prop,shield,Goblin,Equipment for Warrior,Vertical Slice,P0,N/A,None,None,Global,Yes,Text to 3D,Optional,Separate prop/socketed,None,Socketed to character,Yes,1000,3000,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,2,0.8,Grip/socket point; local forward +Z,Simple box/capsule or none,FBX,Assets/_Game/Art/Equipment/CharacterProps/Goblin,Assets/_Game/Prefabs/Equipment/weapon_goblin_wood_shield_001.prefab,goblin_shield,Character socket standard; Warrior concept,1,Planned,Correct grip pivot; no hand attached; safe silhouette; no thin fragile pieces,,ART_REF_001 + Visual Bible v1.0
weapon_hero_archer_bow_001,Arco da Arqueira,Archer Bow,3D Model,Character Prop,bow,Heroes,Equipment for Archer,Vertical Slice,P0,N/A,None,None,Global,Yes,Text to 3D,Optional,Separate prop/socketed,None,Socketed to character,Yes,1000,3000,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,2,1.5,Grip/socket point; local forward +Z,Simple box/capsule or none,FBX,Assets/_Game/Art/Equipment/CharacterProps/Heroes,Assets/_Game/Prefabs/Equipment/weapon_hero_archer_bow_001.prefab,heroes_bow,Character socket standard; Archer concept,1,Planned,Correct grip pivot; no hand attached; safe silhouette; no thin fragile pieces,,ART_REF_001 + Visual Bible v1.0
weapon_hero_archer_quiver_001,Aljava da Arqueira,Archer Quiver,3D Model,Character Prop,quiver,Heroes,Equipment for Archer,Vertical Slice,P0,N/A,None,None,Global,Yes,Text to 3D,Optional,Separate prop/socketed,None,Socketed to character,Yes,700,1800,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,2,0.8,Grip/socket point; local forward +Z,Simple box/capsule or none,FBX,Assets/_Game/Art/Equipment/CharacterProps/Heroes,Assets/_Game/Prefabs/Equipment/weapon_hero_archer_quiver_001.prefab,heroes_quiver,Character socket standard; Archer concept,1,Planned,Correct grip pivot; no hand attached; safe silhouette; no thin fragile pieces,,ART_REF_001 + Visual Bible v1.0
weapon_hero_mage_staff_001,Cajado do Mago,Mage Staff,3D Model,Character Prop,staff,Heroes,Equipment for Mage,Vertical Slice,P0,N/A,None,None,Global,Yes,Text to 3D,Optional,Separate prop/socketed,None,Socketed to character,Yes,1000,3000,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,2,1.5,Grip/socket point; local forward +Z,Simple box/capsule or none,FBX,Assets/_Game/Art/Equipment/CharacterProps/Heroes,Assets/_Game/Prefabs/Equipment/weapon_hero_mage_staff_001.prefab,heroes_staff,Character socket standard; Mage concept,1,Planned,Correct grip pivot; no hand attached; safe silhouette; no thin fragile pieces,,ART_REF_001 + Visual Bible v1.0
weapon_hero_paladin_shield_001,Escudo do Paladino,Paladin Shield,3D Model,Character Prop,shield,Heroes,Equipment for Paladin,Vertical Slice,P0,N/A,None,None,Global,Yes,Text to 3D,Optional,Separate prop/socketed,None,Socketed to character,Yes,1000,3000,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,2,0.8,Grip/socket point; local forward +Z,Simple box/capsule or none,FBX,Assets/_Game/Art/Equipment/CharacterProps/Heroes,Assets/_Game/Prefabs/Equipment/weapon_hero_paladin_shield_001.prefab,heroes_shield,Character socket standard; Paladin concept,1,Planned,Correct grip pivot; no hand attached; safe silhouette; no thin fragile pieces,,ART_REF_001 + Visual Bible v1.0
weapon_hero_paladin_sword_001,Espada do Paladino,Paladin Sword,3D Model,Character Prop,1H sword,Heroes,Equipment for Paladin,Vertical Slice,P0,N/A,None,None,Global,Yes,Text to 3D,Optional,Separate prop/socketed,None,Socketed to character,Yes,1000,3000,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,2,0.8,Grip/socket point; local forward +Z,Simple box/capsule or none,FBX,Assets/_Game/Art/Equipment/CharacterProps/Heroes,Assets/_Game/Prefabs/Equipment/weapon_hero_paladin_sword_001.prefab,heroes_1H sword,Character socket standard; Paladin concept,1,Planned,Correct grip pivot; no hand attached; safe silhouette; no thin fragile pieces,,ART_REF_001 + Visual Bible v1.0
skin_archer_t01_base,Skin Arqueira T1,Archer Skin T1,3D Model,Character Skin,Archer,Heroes,Full-body equipment set visualization,Vertical Slice,P0,T1,Base tier skin; Legendary/Mythic may receive separate premium variant,None,Global,Yes,Multi-view Image to 3D,Yes,Full skin; separate weapon/shield,Humanoid,anim_hero_ranged_humanoid,Yes,5000,8500,0.5,0.25,2048x2048,BaseColor; Normal; Metallic; Roughness; AO; Emission mask,3,1.9,Between feet at ground,Uses character prefab colliders,FBX,Assets/_Game/Art/Characters/Heroes/Archer/Skins/T1,Assets/_Game/Prefabs/Characters/Heroes/Skins/PF_skin_archer_t01.prefab,skin_archer_shared_skeleton,hero_archer_001; approved tier concept; shared humanoid skeleton,1,Planned,Exact shared skeleton proportions; no clipping in standard animations; tier silhouette progression is clear,,ART_REF_001 + Visual Bible v1.0
skin_mage_t01_base,Skin Mago T1,Mage Skin T1,3D Model,Character Skin,Mage,Heroes,Full-body equipment set visualization,Vertical Slice,P0,T1,Base tier skin; Legendary/Mythic may receive separate premium variant,None,Global,Yes,Multi-view Image to 3D,Yes,Full skin; separate weapon/shield,Humanoid,anim_hero_caster_humanoid,Yes,5000,8500,0.5,0.25,2048x2048,BaseColor; Normal; Metallic; Roughness; AO; Emission mask,3,1.9,Between feet at ground,Uses character prefab colliders,FBX,Assets/_Game/Art/Characters/Heroes/Mage/Skins/T1,Assets/_Game/Prefabs/Characters/Heroes/Skins/PF_skin_mage_t01.prefab,skin_mage_shared_skeleton,hero_mage_001; approved tier concept; shared humanoid skeleton,1,Planned,Exact shared skeleton proportions; no clipping in standard animations; tier silhouette progression is clear,,ART_REF_001 + Visual Bible v1.0
skin_paladin_t01_base,Skin Paladino T1,Paladin Skin T1,3D Model,Character Skin,Paladin,Heroes,Full-body equipment set visualization,Vertical Slice,P0,T1,Base tier skin; Legendary/Mythic may receive separate premium variant,None,Global,Yes,Multi-view Image to 3D,Yes,Full skin; separate weapon/shield,Humanoid,anim_hero_tank_humanoid,Yes,5000,8500,0.5,0.25,2048x2048,BaseColor; Normal; Metallic; Roughness; AO; Emission mask,3,1.9,Between feet at ground,Uses character prefab colliders,FBX,Assets/_Game/Art/Characters/Heroes/Paladin/Skins/T1,Assets/_Game/Prefabs/Characters/Heroes/Skins/PF_skin_paladin_t01.prefab,skin_paladin_shared_skeleton,hero_paladin_001; approved tier concept; shared humanoid skeleton,1,Planned,Exact shared skeleton proportions; no clipping in standard animations; tier silhouette progression is clear,,ART_REF_001 + Visual Bible v1.0
station_alchemist_t01_001,Laboratório T1,Laboratory T1,3D Model,Crafting Station,Alchemist,Crafting,Alquimista production station milestone,Vertical Slice,P0,T1,None,Alquimista,Global,Yes,Text to 3D,Optional,Station base + milestone upgrade variant,Generic optional,anim_station_alchemist,Yes,4000,6500,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,3,3.5,Base center; work interaction point marked,Compound box colliders,FBX,Assets/_Game/Art/Crafting/Stations/Alchemist/T1,Assets/_Game/Prefabs/Crafting/Stations/PF_alchemist_t01.prefab,station_alchemist_milestones,Station interaction socket; profession material kit,1,Planned,Immediate Alquimista readability; irregular e orgânica silhouette; clear work area; milestone visibly stronger than prior tier,,ART_REF_001 + Visual Bible v1.0
station_blacksmith_t01_001,Forja T1,Forge T1,3D Model,Crafting Station,Blacksmith,Crafting,Ferreiro production station milestone,Vertical Slice,P0,T1,None,Ferreiro,Global,Yes,Text to 3D,Optional,Station base + milestone upgrade variant,Generic optional,anim_station_blacksmith,Yes,4000,6500,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,3,3.5,Base center; work interaction point marked,Compound box colliders,FBX,Assets/_Game/Art/Crafting/Stations/Blacksmith/T1,Assets/_Game/Prefabs/Crafting/Stations/PF_blacksmith_t01.prefab,station_blacksmith_milestones,Station interaction socket; profession material kit,1,Planned,Immediate Ferreiro readability; quadrada e pesada silhouette; clear work area; milestone visibly stronger than prior tier,,ART_REF_001 + Visual Bible v1.0
station_enchanter_t01_001,Mesa Arcana T1,Arcane Table T1,3D Model,Crafting Station,Enchanter,Crafting,Encantador production station milestone,Vertical Slice,P0,T1,None,Encantador,Global,Yes,Text to 3D,Optional,Station base + milestone upgrade variant,Generic optional,anim_station_enchanter,Yes,4000,6500,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,3,3.5,Base center; work interaction point marked,Compound box colliders,FBX,Assets/_Game/Art/Crafting/Stations/Enchanter/T1,Assets/_Game/Prefabs/Crafting/Stations/PF_enchanter_t01.prefab,station_enchanter_milestones,Station interaction socket; profession material kit,1,Planned,Immediate Encantador readability; circular e vertical silhouette; clear work area; milestone visibly stronger than prior tier,,ART_REF_001 + Visual Bible v1.0
station_gatherer_t01_001,Acampamento de Expedição T1,Expedition Camp T1,3D Model,Crafting Station,Gatherer,Crafting,Coletador production station milestone,Vertical Slice,P0,T1,None,Coletador,Global,Yes,Text to 3D,Optional,Station base + milestone upgrade variant,Generic optional,anim_station_gatherer,Yes,4000,6500,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,3,3.5,Base center; work interaction point marked,Compound box colliders,FBX,Assets/_Game/Art/Crafting/Stations/Gatherer/T1,Assets/_Game/Prefabs/Crafting/Stations/PF_gatherer_t01.prefab,station_gatherer_milestones,Station interaction socket; profession material kit,1,Planned,Immediate Coletador readability; triangular e robusta silhouette; clear work area; milestone visibly stronger than prior tier,,ART_REF_001 + Visual Bible v1.0
station_tailor_t01_001,Ateliê T1,Atelier T1,3D Model,Crafting Station,Tailor,Crafting,Costureiro production station milestone,Vertical Slice,P0,T1,None,Costureiro,Global,Yes,Text to 3D,Optional,Station base + milestone upgrade variant,Generic optional,anim_station_tailor,Yes,4000,6500,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,3,3.5,Base center; work interaction point marked,Compound box colliders,FBX,Assets/_Game/Art/Crafting/Stations/Tailor/T1,Assets/_Game/Prefabs/Crafting/Stations/PF_tailor_t01.prefab,station_tailor_milestones,Station interaction socket; profession material kit,1,Planned,Immediate Costureiro readability; horizontal e organizada silhouette; clear work area; milestone visibly stronger than prior tier,,ART_REF_001 + Visual Bible v1.0
env_goblin_mine_camp_gate_001,Portão do Acampamento,Camp Gate,3D Model,Environment,large prop,Goblin Mine,Modular environment kit,Vertical Slice,P0,N/A,None,None,Goblin Mine,Yes,Image to 3D,Yes,Modular kit piece,None,None,Yes,2500,6000,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,2,5.0,Base center; grid-aligned where modular,Simple mesh/box collider,FBX,Assets/_Game/Art/Environments/goblin_mine/Models,Assets/_Game/Prefabs/Environments/goblin_mine/PF_camp_gate.prefab,goblin_mine_large prop,Goblin Mine modular grid; material library,1,Planned,Grid alignment; readable silhouette; no hidden internal geometry; collision-safe; battle center remains clear,,ART_REF_001 + Visual Bible v1.0
env_goblin_mine_goblin_barrel_001,Barril Goblin,Goblin Barrel,3D Model,Environment,prop,Goblin Mine,Modular environment kit,Vertical Slice,P0,N/A,None,None,Goblin Mine,Yes,Text to 3D,Optional,Modular kit piece,None,None,Yes,400,900,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,2,1.0,Base center; grid-aligned where modular,Simple mesh/box collider,FBX,Assets/_Game/Art/Environments/goblin_mine/Models,Assets/_Game/Prefabs/Environments/goblin_mine/PF_goblin_barrel.prefab,goblin_mine_prop,Goblin Mine modular grid; material library,1,Planned,Grid alignment; readable silhouette; no hidden internal geometry; collision-safe; battle center remains clear,,ART_REF_001 + Visual Bible v1.0
