tier,unlock_level,rank,material_theme,profession,operation_examples,primary_outputs,typical_cross_inputs
6,52,Master,Aço dracônico e essência de fênix,Alchemist,Refine|CraftConsumable,sangue alquímico; elixir de resistência; têmpera; catalisador T6,glândula rara; pó dracônico
7,64,Grandmaster,Astral e Vazio,Gatherer,GatherExpedition,minério astral; seda do Vazio; erva etérea; cristal sideral; pele planar,chave planar
7,64,Grandmaster,Astral e Vazio,Blacksmith,Refine|CraftEquipment,liga astral; arma de build; armadura T7; ferramenta de grão-mestre,transmutador; trama do Vazio; palavra rúnica
7,64,Grandmaster,Astral e Vazio,Tailor,Refine|CraftEquipment,trama do Vazio; couro etéreo; conjunto especializado; manto astral,liga astral; elixir astral; selo condicional
7,64,Grandmaster,Astral e Vazio,Enchanter,Refine|Enchant,palavra rúnica; encantamento condicional; núcleo astral,cristal sideral; catalisador de alta qualidade
7,64,Grandmaster,Astral e Vazio,Alchemist,Refine|CraftConsumable,elixir astral; transmutação controlada; catalisador T7,erva etérea; pó sideral
8,76,Grandmaster,Celestial e serafim,Gatherer,GatherExpedition,minério celeste; fio serafim; lótus solar; cristal puro; couro celestial,selo de portal
8,76,Grandmaster,Celestial e serafim,Blacksmith,Refine|CraftEquipment,liga celestial; equipamento Lendário; componente de relíquia; ferramenta T8,fluxo perfeito; trama serafim; selo celestial
8,76,Grandmaster,Celestial e serafim,Tailor,Refine|CraftEquipment,trama serafim; couro celestial; conjunto Lendário; cosmético raro,componente de relíquia; essência celeste
8,76,Grandmaster,Celestial e serafim,Enchanter,Refine|Enchant,selo celestial; runa de conjunto; bloqueio parcial de afixo,cristal puro; elixir de ápice
8,76,Grandmaster,Celestial e serafim,Alchemist,Refine|CraftConsumable,elixir de ápice; essência celeste; fluxo perfeito; catalisador T8,lótus solar; pó celestial
9,90,God,"Divino, destino e criação",Gatherer,GatherExpedition,minério divino; fio do destino; lótus primordial; cristal do mundo; couro da criação,mapa mítico; chave de expedição
9,90,God,"Divino, destino e criação",Blacksmith,Refine|CraftEquipment,liga divina; equipamento T9; arma de assinatura; ferramenta Deus,Catalisador Divino; fio do destino; runa divina
9,90,God,"Divino, destino e criação",Tailor,Refine|CraftEquipment,trama do destino; armadura T9; cosmético de assinatura,liga divina; Catalisador Divino; pedra mítica
9,90,God,"Divino, destino e criação",Enchanter,Refine|Enchant,runa divina; palavra de poder; pedra mítica; selo de legado,cristal do mundo; reagente primordial
9,90,God,"Divino, destino e criação",Alchemist,Refine|CraftConsumable,Catalisador Divino; elixir primordial; reagente Mítico,lótus primordial; pó divino; insumos das demais profissões
